question_text	opción_a	opción_b	opción_c	opción_d	respuesta_correcta	explicación	idioma	exam_category
¿En qué año se abolió definitivamente la esclavitud en Francia?	1789	1848	1905	1944	opción_b	La abolición definitiva se promulgó en 1848 bajo la II República (Victor Schoelcher).	es	History, geography and culture
¿Bajo qué República vivimos actualmente?	La III República	La IV República	La V República	La VI República	opción_c	La V República fue fundada en 1958 por Charles de Gaulle.	es	Institutional and political system
¿Qué rey de Francia era conocido como el Rey Sol?	Enrique IV	Luis XIV	Luis XVI	Francisco I	opción_b	Luis XIV, famoso por la construcción del palacio de Versalles, es el Rey Sol.	es	History, geography and culture
¿Quién dirigió la Resistencia francesa desde Londres durante la Segunda Guerra Mundial?	Jean Moulin	El mariscal Pétain	El general De Gaulle	Winston Churchill	opción_c	Charles de Gaulle lanzó el Llamamiento del 18 de junio de 1940.	es	History, geography and culture
¿Quién unificó la Resistencia interior en Francia?	Charles de Gaulle	Jean Moulin	Léon Blum	Victor Hugo	opción_b	Jean Moulin fundó el Consejo Nacional de la Resistencia.	es	History, geography and culture
¿Cuáles son las fechas de la Primera Guerra Mundial?	1870-1871	1914-1918	1939-1945	1954-1962	opción_b	La Gran Guerra enfrentó a Francia y sus aliados contra los imperios centrales.	es	History, geography and culture
¿Cuáles son las fechas de la Segunda Guerra Mundial?	1914-1918	1936-1939	1939-1945	1945-1950	opción_c	El conflicto mundial terminó con la victoria de los Aliados en 1945.	es	History, geography and culture
¿Qué general francés tomó el poder en 1799 y se convirtió en emperador?	Carlomagno	Luis Napoleón Bonaparte	Napoleón Bonaparte	Charles de Gaulle	opción_c	Napoleón I dominó Europa a principios del siglo XIX.	es	History, geography and culture
¿Cuál es la edad de mayoría de edad legal en Francia?	16	18 años	21 años	25 años	opción_b	La mayoría de edad civil y política se fijó en 18 años desde 1974.	es	Rights and duties
La escolarización es obligatoria en Francia. ¿De qué edad a qué edad?	De 3 a 16 años	De 6 a 16 años	De 6 a 18 años	De 3 a 18 años	opción_a	La educación es obligatoria desde los 3 hasta los 16 años.	es	Living in French society
La escuela pública en Francia es:	De pago y religiosa	Gratuita, laica y obligatoria	Reservada a los niños	Opcional	opción_b	La escuela pública se basa en la gratuidad, la laicidad y la obligatoriedad de la enseñanza.	es	Living in French society
¿Qué monumento parisino alberga las tumbas de las grandes personalidades francesas?	La Torre Eiffel	El Arco del Triunfo	El Panteón	El Louvre	opción_c	En su frontón está inscrito: «A los grandes hombres, la patria agradecida».	es	History, geography and culture
¿Cuál de estos ríos NO discurre por Francia?	El Sena	El Ródano	El Támesis	El Loira	opción_c	El Támesis discurre por Inglaterra.	es	History, geography and culture
¿Cuál es el río más largo de Francia?	El Garona	El Sena	El Ródano	El Loira	opción_d	El Loira mide más de 1000 km.	es	History, geography and culture
¿Cuál de estas cadenas montañosas forma la frontera entre Francia y España?	Los Alpes	Los Vosgos	Los Pirineos	El Macizo Central	opción_c	Los Pirineos separan la península ibérica de Francia.	es	History, geography and culture
¿Cuál de estas cadenas montañosas forma la frontera entre Francia e Italia?	Los Alpes	El Jura	Los Pirineos	Los Vosgos	opción_a	Los Alpes albergan el Mont Blanc, el pico más alto de Europa occidental.	es	History, geography and culture
¿Cuántos departamentos hay en Francia (aproximadamente)?	50	101	150	200	opción_b	Hay 96 departamentos metropolitanos y 5 departamentos de ultramar.	es	History, geography and culture
¿Cuál de estos territorios es un DROM (departamento o región de ultramar) francés?	Tahití	Nueva Caledonia	Guadalupe	Madagascar	opción_c	Guadalupe, Martinica, Guayana, Reunión y Mayotte son DROM.	es	History, geography and culture
¿En qué país se encuentra la sede del Parlamento Europeo?	Alemania	Bélgica	Francia	Italia	opción_c	El Parlamento Europeo tiene su sede oficial en Estrasburgo, Francia.	es	Institutional and political system
¿Qué tratado creó oficialmente la Unión Europea en 1992?	El Tratado de Roma	El Tratado de Maastricht	El Tratado de Versalles	El Tratado de París	opción_b	El Tratado de Maastricht instituyó la Unión Europea y sentó las bases del euro.	es	Institutional and political system
¿Cuántos países componen la Unión Europea en la actualidad? (en 2024)	15	27	30	28	opción_b	Desde el Brexit, la UE cuenta con 27 Estados miembros.	es	Institutional and political system
¿Cuál es la moneda de Francia?	El franco	La libra	El euro	El dólar	opción_c	Francia ha adoptado el euro como moneda común con otros países de la UE.	es	Institutional and political system
¿Quién escribió Los Miserables?	Molière	Victor Hugo	Émile Zola	Voltaire	opción_b	Victor Hugo es uno de los escritores y poetas franceses más importantes del siglo XIX.	es	History, geography and culture
¿Cuál de estos dramaturgos es famoso por sus comedias del siglo XVII?	Baudelaire	Molière	Albert Camus	Marcel Proust	opción_b	Molière es autor de obras como Tartufo o El avaro.	es	History, geography and culture
¿Qué edificio oficial se encuentra en cada municipio de Francia?	Una catedral	Una prefectura	Un ayuntamiento	Un tribunal	opción_c	El ayuntamiento (o Hôtel de ville) es la sede de la administración local.	es	Institutional and political system
¿Dónde debe celebrarse obligatoriamente un matrimonio para que sea válido en Francia?	En la iglesia	En el ayuntamiento	En la notaría	En el juzgado	opción_b	Solo el matrimonio civil (en el ayuntamiento) tiene valor legal en Francia.	es	Living in French society
¿Cuál es el principal impuesto que financia la protección social (enfermedad, jubilación) en Francia?	El IVA	Las cotizaciones sociales (CSG/CRDS)	El impuesto sobre el patrimonio	El impuesto sobre la vivienda	opción_b	La solidaridad nacional se financia mediante cotizaciones y contribuciones sociales.	es	Rights and duties
¿Cuál es el deber de un ciudadano francés en materia de defensa?	Hacer un año de servicio militar	Participar en la JDC (Jornada de Defensa y Ciudadanía)	Comprar un arma	No hay ningún deber	opción_b	La JDC es obligatoria para los jóvenes de entre 16 y 25 años.	es	Rights and duties
La República Francesa es una y:	Indivisible	Múltiple	Regional	Separada	opción_a	El artículo 1 de la Constitución estipula: Francia es una República indivisible, laica, democrática y social.	es	Principles and values of the Republic
¿Quién vota las leyes en Francia?	El presidente	El primer ministro	El Parlamento (Asamblea Nacional y Senado)	El Consejo Constitucional	opción_c	El poder legislativo pertenece al Parlamento.	es	Institutional and political system
¿Qué es la Declaración de los Derechos del Hombre y del Ciudadano?	Un tratado de paz	Un texto fundamental de 1789 que enuncia los derechos naturales del hombre	Una ley europea	El código de circulación	opción_b	Fue adoptada al comienzo de la Revolución Francesa en 1789.	es	History, geography and culture
¿Cuál de estos derechos NO está garantizado en Francia?	La libertad de expresión	La libertad de culto	El derecho a no pagar impuestos	El derecho a la huelga	opción_c	Pagar impuestos es un deber ciudadano para financiar los servicios públicos.	es	Rights and duties
¿Cómo se llama el himno de la Unión Europea?	La Marsellesa	Oda a la alegría	God Save the King	El canto de los partisanos	opción_b	El Himno a la alegría procede de la Novena Sinfonía de Beethoven.	es	Institutional and political system
¿Qué rey de los francos se convirtió al cristianismo y fue bautizado hacia el año 496?	Carlomagno	Clovis	Enrique IV	Luis XIV	opción_b	El bautismo de Clovis se considera un momento fundacional en la historia de Francia.	es	History, geography and culture
¿Quién fue coronado emperador de Occidente por el papa en el año 800?	Napoleón	Julio César	Carlomagno	Luis XVI	opción_c	Carlomagno fundó un inmenso imperio en Europa con Aquisgrán como capital.	es	History, geography and culture
¿Qué heroína ayudó al rey Carlos VII a expulsar a los ingleses durante la Guerra de los Cien Años?	Juana de Arco	Catalina de Médicis	Leonor de Aquitania	Olympe de Gouges	opción_a	Juana de Arco liberó Orleans en 1429 antes de ser quemada viva en Ruán en 1431.	es	History, geography and culture
¿Qué rey puso fin a las guerras de religión al firmar el edicto de Nantes en 1598?	Luis XIII	Francisco I	Enrique IV	Felipe el Hermoso	opción_c	El Edicto de Nantes concedía libertad de culto a los protestantes.	es	History, geography and culture
¿Quién redactó la Declaración de los Derechos de la Mujer y la Ciudadana en 1791?	Simone de Beauvoir	George Sand	Olympe de Gouges	Marie Curie	opción_c	Olympe de Gouges fue una de las primeras feministas francesas y fue guillotinada durante la Revolución.	es	History, geography and culture
¿En qué República se aprobaron las leyes que establecían la gratuidad y la obligatoriedad de la enseñanza laica?	La I República	La Segunda República	La III República	La V República	opción_c	Estas leyes fueron promovidas por Jules Ferry en 1881 y 1882 bajo la III República.	es	History, geography and culture
¿En qué año se abolió la pena de muerte en Francia?	1945	1968	1981	2000	opción_c	Fue abolida en 1981 bajo la presidencia de François Mitterrand mediante una ley impulsada por Robert Badinter.	es	Institutional and political system
¿Qué ministra de Sanidad promovió la ley que legalizó el aborto en 1975?	Simone Veil	Édith Cresson	Christiane Taubira	Ségolène Royal	opción_a	Simone Veil defendió este derecho fundamental para las mujeres a pesar de la fuerte oposición.	es	History, geography and culture
¿Qué famoso científico francés desarrolló la vacuna contra la rabia en 1885?	Pierre Curie	Louis Pasteur	René Descartes	Blaise Pascal	opción_b	Louis Pasteur es un pionero de la microbiología.	es	History, geography and culture
¿Qué científica de origen polaco y nacionalidad francesa obtuvo dos premios Nobel?	Marie Curie	Sophie Germain	Émilie du Châtelet	Lucie Aubrac	opción_a	Marie Curie descubrió el radio y el polonio junto con su marido Pierre.	es	History, geography and culture
¿Cuál es la segunda ciudad más grande de Francia (en población intramuros)?	Lyon	Toulouse	Marsella	Burdeos	opción_c	Marsella, situada en la costa mediterránea, es la segunda ciudad más poblada.	es	History, geography and culture
¿Qué mar baña el sur de Francia?	El mar Negro	El mar Rojo	El mar Mediterráneo	El mar del Norte	opción_c	La costa sur de Francia (la Costa Azul y Languedoc) da al Mediterráneo.	es	History, geography and culture
¿Qué océano bordea el oeste de Francia?	El océano Pacífico	El océano Índico	El océano Ártico	El océano Atlántico	opción_d	La costa occidental de Francia se abre al océano Atlántico.	es	History, geography and culture
¿Cuál es el punto más alto de Francia y de Europa occidental?	El Pitón de la Fournaise	El Mont Blanc	El Pic du Midi	El Puy de Dôme	opción_b	El Mont Blanc culmina a unos 4805 metros en los Alpes.	es	History, geography and culture
¿Cuál de estos países NO tiene frontera terrestre con Francia?	Alemania	Italia	España	El Reino Unido	opción_d	El Reino Unido está separado de Francia por el mar (el Canal de la Mancha).	es	History, geography and culture
¿Qué región francesa es especialmente famosa por sus castillos renacentistas?	Bretaña	Alsacia	El Valle del Loira	Normandía	opción_c	Chambord, Chenonceau y Amboise se encuentran en el valle del Loira.	es	History, geography and culture
¿Qué es la Francofonía?	Un tratado de paz europeo	El conjunto de personas y países que utilizan la lengua francesa	Una antigua moneda	Un partido político	opción_b	La Organización Internacional de la Francofonía (OIF) promueve la lengua y la cooperación.	es	History, geography and culture
¿En qué museo parisino se puede admirar el cuadro de La Gioconda?	El Museo de Orsay	El Centro Pompidou	El Louvre	El Museo del Quai Branly	opción_c	El Louvre es el museo de arte y antigüedades más grande del mundo.	es	History, geography and culture
¿Quiénes son Auguste y Louis Lumière?	Pintores impresionistas	Los inventores del cine	Exploradores	Presidentes franceses	opción_b	Los hermanos Lumière inventaron el cinematógrafo a finales del siglo XIX.	es	History, geography and culture
¿Cuál de estos platos es un gran clásico de la gastronomía francesa?	La paella	La pizza	El bœuf bourguignon	El fish and chips	opción_c	La gastronomía francesa está inscrita en el patrimonio cultural inmaterial de la UNESCO.	es	Living in French society
¿Cuál es la función del Consejo Constitucional?	Nombrar a los ministros	Verificar que las leyes respeten la Constitución	Gestionar el presupuesto del Estado	Detener a los delincuentes	opción_b	Se asegura de que las leyes aprobadas no contradigan los principios de la Constitución.	es	Institutional and political system
¿Quién dirige la acción del Gobierno francés?	El presidente de la República	El ministro del Interior	El primer ministro	El presidente del Senado	opción_c	El primer ministro es el jefe del Gobierno.	es	Institutional and political system
¿Cómo se llama el texto fundamental que organiza las instituciones del Estado francés?	El Código Civil	El Código Penal	La Constitución	El Tratado de Roma	opción_c	La Constitución actual es la de la V República (1958).	es	Institutional and political system
¿En una ceremonia oficial en la que el alcalde representa al Estado?	Una corona	Una banda tricolor	Una capa negra	Un brazalete blanco	opción_b	La banda azul, blanca y roja simboliza su autoridad y su papel como representante de la República.	es	Institutional and political system
¿Cuál es el objetivo principal de los impuestos en Francia?	Enriquecer a los políticos	Financiar los servicios públicos (escuelas, hospitales, carreteras)	Pagar las deudas de otros países	Financiar a las empresas privadas	opción_b	Los impuestos son un deber ciudadano que permite la solidaridad nacional y la acción del Estado.	es	Rights and duties
¿Qué significa la sigla PACS?	Partido Anticapitalista y Social	Plan de Acción Cívica y Social	Pacto Civil de Solidaridad	Permiso de conducir seguro	opción_c	El PACS es un contrato que regula la convivencia de dos personas mayores de edad.	es	Living in French society
¿Quién tiene derecho a votar en las elecciones municipales en Francia?	Solo los ciudadanos franceses	Los ciudadanos franceses y europeos residentes en el municipio	Todos los residentes del mundo	Solo las personas mayores de 21 años	opción_b	Los ciudadanos de la Unión Europea que viven en Francia pueden votar en las elecciones municipales.	es	Rights and duties
¿En nombre de quién se imparte justicia en Francia?	Del presidente de la República	De Dios	Del pueblo francés	De los jueces	opción_c	Las decisiones judiciales se dictan En nombre del pueblo francés.	es	Institutional and political system
¿Qué es la presunción de inocencia?	Toda persona acusada es culpable hasta que se demuestre lo contrario.	Toda persona acusada es considerada inocente hasta que se demuestre su culpabilidad.	Nadie puede ser juzgado	Los ricos no van a la cárcel	opción_b	Es un principio fundamental de los derechos humanos garantizado por la legislación francesa.	es	Principles and values of the Republic
¿Cuál de estos números de emergencia permite contactar con el SAMU (emergencias médicas)?	15	17	18	112	opción_a	El 15 es el SAMU, el 17 la policía y el 18 los bomberos.	es	Living in French society
¿Cuál es el número de emergencia único europeo?	911	112	118	999	opción_b	El 112 funciona en todos los países de la Unión Europea.	es	Living in French society
¿Cuál es la función principal de un sindicato en Francia?	Organizar fiestas	Defender los derechos e intereses de los trabajadores	Sustituir al gobierno	Gestionar los bancos	opción_b	El derecho sindical y el derecho a la huelga están garantizados por la Constitución.	es	Rights and duties
¿Qué garantiza la libertad de conciencia recogida en la ley de separación de 1905?	El derecho a creer o no creer y a practicar la religión que se desee	La obligación de tener una religión	La prohibición de ir a la iglesia	La obligación de apoyar económicamente a una religión	opción_a	Es el principio central de la laicidad francesa.	es	Principles and values of the Republic
¿Qué simboliza la Fraternidad en el lema republicano?	La competencia	La solidaridad y la ayuda mutua entre los ciudadanos	La obediencia	La ley del más fuerte	opción_b	La fraternidad se expresa, en particular, a través del sistema de seguridad social y los impuestos.	es	Principles and values of the Republic
¿Cómo está compuesta la bandera de la Unión Europea?	Un águila sobre fondo rojo	12 estrellas doradas en círculo sobre fondo azul	Una cruz blanca sobre fondo rojo	Bandas verticales azules y amarillas	opción_b	Las estrellas representan los ideales de unidad, solidaridad y armonía entre los pueblos.	es	Institutional and political system
¿En qué año comenzaron a circular las monedas y billetes en euros?	1992	1999	2002	2010	opción_c	El euro físico sustituyó al franco francés el 1 de enero de 2002.	es	Institutional and political system
¿Para qué sirve el espacio Schengen en Europa?	Utilizar la misma moneda	Garantizar la libre circulación de personas entre los países miembros sin controles en las fronteras interiores.	Crear un ejército común	Para hablar el mismo idioma	opción_b	Permite viajar, trabajar y vivir libremente en el espacio en cuestión.	es	Institutional and political system
¿Qué noble francés partió a luchar junto a George Washington durante la Guerra de Independencia de los Estados Unidos?	Napoleón	El marqués de Lafayette	Robespierre	Danton	opción_b	Lafayette es un símbolo de la histórica amistad entre Francia y Estados Unidos.	es	History, geography and culture
¿Qué famosa batalla de 1805 se considera a menudo la obra maestra táctica de Napoleón I?	Waterloo	Verdún	Austerlitz	Marignan	opción_c	Austerlitz también se conoce como la batalla de los Tres Emperadores.	es	History, geography and culture
¿En qué lugar concreto se firmó el armisticio del 11 de noviembre de 1918?	En Versalles	En un vagón en Rethondes	En la Torre Eiffel	En el palacio del Elíseo	opción_b	El armisticio que puso fin a los combates de la Gran Guerra se firmó en el bosque de Compiègne.	es	History, geography and culture
¿Qué coalición política instauró las dos primeras semanas de vacaciones pagadas en Francia en 1936?	El Frente Nacional	El Frente Popular	La France Insoumise	La Agrupación por la República	opción_b	El Frente Popular, dirigido por Léon Blum, introdujo grandes avances sociales.	es	History, geography and culture
¿Qué políticos se consideran los padres fundadores de la Europa de la posguerra?	De Gaulle y Churchill	Robert Schuman y Jean Monnet	Mitterrand y Kohl	Macron y Merkel	opción_b	La declaración Schuman de 1950 sentó las bases de la Unión Europea.	es	History, geography and culture
¿Qué escritora y filósofa publicó El segundo sexo, obra fundamental del feminismo?	Simone Weil	Simone de Beauvoir	Colette	Marguerite Duras	opción_b	Simone de Beauvoir escribió No se nace mujer, se llega a serlo.	es	History, geography and culture
En Francia, ¿la libertad de expresión da derecho a insultar o incitar al odio racial?	Sí, es libertad total.	Sí, pero solo en Internet.	No, estos actos son delitos punibles por la ley	Sí, si se es anónimo.	opción_c	La libertad de expresión tiene límites establecidos por la ley para proteger a las personas.	es	Rights and duties
¿Dónde pronunció el general De Gaulle el Llamamiento del 18 de junio de 1940?	En París	En la radio de Londres (BBC).	En Nueva York	En Argel	opción_b	Este llamamiento fundacional invitaba a los franceses a continuar la lucha contra la Alemania nazi.	es	History, geography and culture
¿Qué canción se convirtió en el himno de la Resistencia francesa durante la ocupación?	La Marsellesa	El canto de los partisanos	Le Temps des cerises	La Carmagnole	opción_b	Fue creada por Joseph Kessel y Maurice Druon en 1943.	es	History, geography and culture
¿Qué significa la sigla TGV en el transporte francés?	Transporte General de Viajeros	Tren de Alta Velocidad	Transporte Global Versátil	Tracción y deslizamiento de vías	opción_b	La red TGV es uno de los símbolos del saber hacer industrial francés.	es	Living in French society
¿Cuál es la máxima autoridad judicial en Francia?	El tribunal correccional	El tribunal de apelación	El Tribunal de Casación	El Consejo de Estado	opción_c	El Tribunal de Casación comprueba que los demás tribunales hayan aplicado correctamente las leyes.	es	Institutional and political system
Si el presidente de la República fallece o dimite, ¿quién asume el cargo de forma interina?	El primer ministro	El presidente de la Asamblea Nacional	El presidente del Senado	El ministro del Interior	opción_c	Esto ocurrió en 1969 y 1974 con Alain Poher (presidente del Senado).	es	Institutional and political system
¿Cómo se simboliza tradicionalmente la justicia en Francia?	Por un águila	Por una mujer con los ojos vendados que sostiene una balanza (y a menudo una espada)	Por un libro abierto	Por una paloma	opción_b	Este símbolo muestra que la justicia debe ser imparcial y equitativa.	es	Principles and values of the Republic
