Quel est le double rôle de l'État concernant la liberté?,L'ignorer et la supprimer,La protéger et poser des limites,La vendre et la taxer,L'interdire et la punir,b,L'État protège cette liberté et pose les limites.,fr,La liberté,CR
Comment classe-t-on la liberté de « se rassembler dans un lieu »?,Comme un devoir civique,Comme une interdiction,Comme une liberté qui concerne plusieurs personnes,Comme une liberté individuelle,c,C'est classé dans les « libertés qui concernent plusieurs personnes ».,fr,La liberté,CR
Quel est le but d'adhérer à un syndicat?,Devenir politicien,Gagner plus d'argent,Organiser des fêtes,Défendre des intérêts communs,d,Adhérer à un syndicat pour défendre des intérêts commun.,fr,La liberté,CR
"Parmi les propositions suivantes, laquelle est une liberté collective (concernant plusieurs personnes)?",Vivre avec la personne de son choix,Avoir une religion,Participer à une manifestation,Se déplacer,c,« Participer à une manifestation » est listé dans la catégorie des libertés concernant plusieurs personnes.,fr,La liberté,CR
Pourquoi l'État pose-t-il des limites à la liberté?,Pour contrôler la population,Pour que la liberté des uns n'empêche pas celle des autres,Pour gagner de l'argent,Pour réduire les droits des citoyens,b,L'État pose les limites « pour que la liberté des uns n'empêche pas celle des autres ».,fr,La liberté,CR
Sur quels critères ne doit-on pas faire de différence pour le droit à la liberté?,L'âge et le sexe,La richesse et le métier,"Le pays d'origine, les parents, les ancêtres ou la religion",Le lieu d'habitation et la voiture,c,"Pays d’origine d’une personne, ses parents ou ses ancêtres, sa religion.",fr,La liberté,CR
Quelle année est associée à la Déclaration des droits de l'homme?,1789,1848,1958,1945,a,Déclaration des droits de l’homme et du citoyen de 1789.,fr,La liberté,CR
Que garantissent les libertés concernant plusieurs personnes?,L'accès au logement,Le droit de vote,La richesse pour tous,À chacun sa place dans la société,d,Ces libertés « garantissent à chacun sa place dans la société ».,fr,La liberté,CR
"Si une personne empêche une autre de s'exprimer, que fait-elle?",Elle défend ses droits,Elle utilise sa liberté,Elle applique la loi,Elle dépasse la limite de la liberté,d,Elle dépasse la limite car « La seule limite est de ne pas empêcher une autre personne d’en faire autant ».,fr,La liberté,CR
Lequel de ces exemples n'est PAS classé comme une liberté individuelle (« de chaque personne »)?,Vivre avec la personne de son choix,Avoir ou ne pas avoir une religion,Se déplacer dans le territoire,Adhérer à un syndicat,d,Adhérer à un syndicat est classé dans les libertés qui concernent plusieurs personnes.,fr,La liberté,Naturalisation
Quelle affirmation est fausse concernant les limites de la liberté?,L'État pose les limites,Il n'y a aucune limite à la liberté en France,La limite est de ne pas gêner la liberté d'autrui,La liberté des uns ne doit pas empêcher celle des autres,b,Il y a une limite : La seule limite est de ne pas empêcher une autre personne d’en faire autant.,fr,La liberté,Naturalisation
Lequel de ces droits n'est pas explicitement cité dans la liste des résultats de la compréhension de la liberté?,Apprendre,Vivre,Voter,Travailler,c,"Vivre, travailler, apprendre et s’exprimer.",fr,La liberté,Naturalisation
Quelle distinction fait-on entre les deux types de libertés?,Libertés des Français et libertés des étrangers,Libertés gratuites et libertés payantes,Libertés de chaque personne et libertés concernant plusieurs personnes,Libertés anciennes et libertés modernes,c,Les libertés de chaque personne et les libertés qui concernent plusieurs personnes.,fr,La liberté,Naturalisation
"Concernant la religion, quelle nuance est vraie?",On a le droit d'avoir ou de ne pas avoir une religion,La religion est interdite dans l'espace public,"On a le droit d'avoir une religion, mais pas de ne pas en avoir","On a le droit de ne pas avoir de religion, mais pas d'en avoir une",a,« avoir ou ne pas avoir une religion ».,fr,La liberté,Naturalisation
Quel élément spécifique est requis pour la liberté de circulation?,Un passeport français,Un titre de séjour,Un permis de conduire,Une carte d'électeur,b,Il faut se déplacer dans le territoire grâce à son titre de séjour.,fr,La liberté,Naturalisation
"Parmi ces actions, laquelle relève de la liberté collective?",Choisir sa religion,Exprimer une opinion personnelle,Se rassembler dans un lieu,Choisir son conjoint,c,Se rassembler dans un lieu est une liberté qui concerne plusieurs personnes.,fr,La liberté,Naturalisation
"Si l'on compare la liberté de « s'exprimer » et celle de « manifester », comment sont-elles classées?","S'exprimer est individuel, manifester est collectif",Toutes deux individuelles,Toutes deux collectives,"S'exprimer est collectif, manifester est individuel",a,"« Exprimer une opinion » est classé dans les libertés de chaque personne, « participer à une manifestation » dans celles concernant plusieurs personnes.",fr,La liberté,Naturalisation
Quelle catégorie de personnes est exclue du droit à la liberté?,Les étrangers,Les personnes sans religion,"Aucune, c'est un droit pour tous",Les personnes sans ancêtres français,c,"La liberté est un droit pour tous, sans faire de différence.",fr,La liberté,Naturalisation
Quelle est la fonction sociale des libertés collectives?,Augmenter le pouvoir d'achat,Remplacer les libertés individuelles,Garantir à chacun sa place dans la société,Permettre à l'État de surveiller les groupes,c,Ces libertés « garantissent à chacun sa place dans la société ».,fr,La liberté,Naturalisation
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Avec qui une personne a-t-elle le droit de vivre en France?,Seulement avec une personne française,Avec la personne de son choix,Uniquement avec sa famille,Avec l'accord de la mairie,b,Vivre avec la personne de son choix est une liberté individuelle.,fr,La liberté,CSP
Quel groupe peut-on rejoindre pour défendre des intérêts communs?,Un club de sport,Une association caritative,Un syndicat,Un parti politique uniquement,c,L'adhésion à un syndicat est une liberté pour défendre des intérêts communs.,fr,La liberté,CSP
À qui s'adresse le droit à la liberté en France?,Seulement aux personnes qui travaillent,Uniquement aux citoyens nés en France,Aux personnes pratiquant une religion,"À tous, sans faire de différence",d,"La liberté est un droit pour tous, sans distinction d'origine ou de religion.",fr,La liberté,CSP
"Que peut faire une personne qui comprend le principe de liberté, en plus de vivre?",Voter à toutes les élections,Travailler et apprendre,Ignorer les lois,Changer de nationalité immédiatement,b,"Une personne peut vivre, travailler, apprendre et s’exprimer en toute sécurité.",fr,La liberté,CSP
Est-il permis de ne pas avoir de religion en France?,Seulement si l'on paie une taxe,"Oui, c'est un droit",Seulement si l'on est étranger,"Non, c'est interdit",b,La liberté d'avoir ou de ne pas avoir une religion.,fr,La liberté,CSP
Peut-on exprimer son opinion librement en France?,Seulement à la télévision,Uniquement lors des élections,"Oui, c'est une liberté garantie","Non, c'est interdit par l'État",c,Chaque personne peut s'exprimer comme elle le souhaite.,fr,La liberté,CSP
De quoi a-t-on besoin pour se déplacer sur le territoire?,D'un titre de séjour,D'une lettre de recommandation,D'une autorisation de l'employeur,D'un passeport européen uniquement,a,Pour le déplacement dans le territoire on a besoin du titre de séjour.,fr,La liberté,CSP
En quelle année a été rédigée la Déclaration des droits de l'homme et du citoyen?,1789,1848,1945,1958,a,La Déclaration des droits de l’homme et du citoyen a été rédigée en 1789.,fr,La liberté,CSP
Comment chaque personne peut-elle vivre en France selon la valeur de liberté?,Comme elle le souhaite,Comme l'État le décide,Selon les traditions de ses ancêtres,En suivant uniquement l'avis de ses parents,a,Chaque personne peut vivre comme elle le souhaite.,fr,La liberté,CSP
Quelle est la fonction des limites posées par l'État concernant la liberté?,Empêcher les gens de sortir,Punir les opinions contraires,Réduire les droits des citoyens,Éviter que la liberté des uns n'empêche celle des autres,d,L'État pose des limites pour que la liberté de chacun soit respectée sans nuire à celle d'autrui.,fr,La liberté,CR
Quel est l'objectif principal d'un syndicat?,Remplacer le rôle de l'État,Organiser des manifestations de rue,Gérer les titres de séjour,Défendre des intérêts communs,d,L'adhésion à un syndicat est un moyen de défendre des intérêts communs.,fr,La liberté,CR
Dans quelle catégorie classe-t-on la manifestation?,Une interdiction publique,Une obligation administrative,Une liberté individuelle (de chaque personne),Une liberté collective (concernant plusieurs personnes),d,La participation à une manifestation est une liberté qui concerne plusieurs personnes.,fr,La liberté,CR
Le fait de se déplacer sur le territoire est considéré comme :,Une liberté qui n'est pas garantie par l'État,Une liberté concernant plusieurs personnes,Un privilège réservé aux ancêtres français,Une liberté de chaque personne,d,Le fait de se déplacer est une liberté individuelle (de chaque personne).,fr,La liberté,CR
Quel lien établit-on entre la liberté et la sécurité?,L'État ne peut pas garantir les deux en même temps,La liberté supprime la sécurité,On s'exprime en sécurité quand on comprend la liberté,La sécurité est plus importante que la liberté,c,Une personne comprenant la liberté peut s'exprimer et travailler en toute sécurité.,fr,La liberté,CR
L'origine des parents d'une personne influence-t-elle son droit à la liberté?,"Oui, s'ils ne sont pas Français",Seulement pour les libertés collectives,"Oui, selon leur religion","Non, on ne fait pas de différence",d,"La liberté est un droit sans différence de pays d'origine, de parents ou d'ancêtres.",fr,La liberté,CR
Quelles sont les deux missions de l'État mentionnées vis-à-vis de la liberté?,La surveiller et la taxer,La protéger et en poser les limites,La supprimer et la remplacer,L'ignorer et la laisser faire,b,L'État français protège cette liberté et pose les limites.,fr,La liberté,CR
Pourquoi les libertés collectives sont-elles importantes?,Elles sont réservées aux syndicats,Elles remplacent la Déclaration de 1789,Elles garantissent à chacun sa place dans la société,Elles permettent de ne pas travailler,c,Ces libertés garantissent à chacun sa place dans la société.,fr,La liberté,CR
Vivre avec la personne de son choix est une liberté :,Individuelle,Religieuse,Collective,Administrative,a,Elle est parmi les libertés de chaque personne (individuelles).,fr,La liberté,CR
Quelle valeur est qualifiée de fondamentale et garantie depuis 1789?,Le travail,La sécurité,La liberté,La fraternité,c,La liberté est une valeur fondamentale garantie par la Déclaration de 1789.,fr,La liberté,CR
La liberté de penser est associée à quelles autres actions?,Travailler et payer,Obéir et se taire,Voter et manifester uniquement,S'exprimer et vivre comme on le souhaite,d,"Chaque personne peut penser, s’exprimer et vivre comme elle le souhaite.",fr,La liberté,CR
Laquelle de ces propositions n'est PAS une liberté individuelle?,Adhérer à un syndicat,Se déplacer sur le territoire,Avoir ou ne pas avoir une religion,S'exprimer,a,On classe le syndicat dans les libertés concernant plusieurs personnes (collectives).,fr,La liberté,Naturalisation
Laquelle de ces propositions n'est PAS une liberté collective?,Se rassembler dans un lieu,Adhérer à un syndicat,Vivre avec la personne de son choix,Participer à une manifestation,c,Vivre avec la personne de son choix est classé comme une liberté individuelle (de chaque personne).,fr,La liberté,Naturalisation
Quel est le nom précis du texte de 1789 garantissant la liberté?,Le Traité de Paris,Le Code civil des Français,La Déclaration des droits de l'homme et du citoyen,La Constitution de la République,c,La Déclaration des droits de l’homme et du citoyen de 1789.,fr,La liberté,Naturalisation
"Si une personne utilise sa liberté pour empêcher autrui d'agir, que se passe-t-il?",Elle suit les recommandations de l'État,Elle respecte la valeur de la République,Elle exerce son droit pleinement,Elle dépasse la seule limite fixée à la liberté,d,La seule limite est de ne pas empêcher une autre personne d'en faire autant.,fr,La liberté,Naturalisation
,,,,,,,,,
Quelle est la différence majeure entre « se déplacer » et « manifester »?,"L'un est un droit, l'autre une obligation","L'un est individuel, l'autre concerne plusieurs personnes","L'un est interdit aux étrangers, l'autre est autorisé","L'un date de 1789, l'autre de 1958",b,Le déplacement en liberté individuelle et la manifestation en liberté collective.,fr,La liberté,Naturalisation
Comment le titre de séjour est-il articulé avec la liberté?,Il remplace la Déclaration de 1789,Il est nécessaire pour adhérer à un syndicat,Il est l'outil permettant la liberté de mouvement,Il est une limite à la liberté,c,Se déplacer dans le territoire grâce à son titre de séjour.,fr,La liberté,Naturalisation
Le concept de « garantir à chacun sa place dans la société » est lié à :,L'absence de religion,La liberté de penser seule,Les libertés qui concernent plusieurs personnes,Le travail obligatoire,c,"On lie cette garantie aux libertés collectives (rassemblement, manifestation, syndicat).",fr,La liberté,Naturalisation
"Parmi ces actions, laquelle n'est pas mentionnée comme protégée par l'État?",Le droit de vivre sans aucune limite,Le droit d'apprendre,Le droit de s'exprimer,Le droit de travailler,a,L'État pose des limites à la liberté.,fr,La liberté,Naturalisation
Quels sont les quatre piliers de l'épanouissement d'une personne libre selon la conclusion?,"Vivre, travailler, apprendre et s'exprimer","S'exprimer, cotiser, manifester et voter","Penser, manifester, voyager et prier","Vivre, voter, manger et dormir",a,"Une personne peut : vivre, travailler, apprendre et s’exprimer en toute sécurité.",fr,La liberté,Naturalisation
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
,,,,,,,,,
Comment qualifie-t-on le principe d'égalité en France?,Une règle temporaire,Un principe secondaire,Un principe fondamental,Une simple recommandation,c,L’égalité est un principe fondamental de la République française.,fr,L'égalité,CSP
Dans quel texte de 1958 le principe d'égalité est-il inscrit?,Le règlement du conseil municipal,La Déclaration des droits de l'homme,Le Code pénal,La Constitution,d,L'égalité est inscrite dans la Constitution de 1958.,fr,L'égalité,CSP
Quel autre texte célèbre contient le principe d'égalité?,La Déclaration des droits de l'homme et du citoyen,Le Code du travail,Le traité de paix,La loi sur la sécurité,a,Elle est aussi présente dans la Déclaration des droits de l’homme et du citoyen.,fr,L'égalité,CSP
