question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
في أي عام تم إلغاء العبودية نهائياً في فرنسا؟	1789	1848	1905	1944	الخيار_ب	تم إعلان الإلغاء النهائي في عام 1848 في عهد الجمهورية الثانية (فيكتور شولشر).	ar	History, geography and culture
تحت أي جمهورية نعيش حاليًا؟	الجمهورية الثالثة	الجمهورية الرابعة	الجمهورية الخامسة	الجمهورية السادسة	الخيار_ج	تأسست الجمهورية الخامسة في عام 1958 على يد شارل ديغول.	ar	Institutional and political system
أي ملك فرنسي كان يُلقب بملك الشمس؟	هنري الرابع	لويس الرابع عشر	لويس السادس عشر	فرانسوا الأول	الخيار_ب	لويس الرابع عشر، المشهور ببناء قصر فرساي، هو الملك الشمس.	ar	History, geography and culture
من قاد المقاومة الفرنسية من لندن خلال الحرب العالمية الثانية؟	جان مولان	المارشال بيتان	الجنرال ديغول	وينستون تشرشل	الخيار_ج	أطلق شارل ديغول نداء 18 يونيو 1940.	ar	History, geography and culture
من الذي وحد المقاومة الداخلية في فرنسا؟	شارل ديغول	جان مولان	ليون بلوم	فيكتور هوجو	الخيار_ب	جان مولان أسس المجلس الوطني للمقاومة.	ar	History, geography and culture
ما هي تواريخ الحرب العالمية الأولى؟	1870-1871	1914-1918	1939-1945	1954-1962	الخيار_ب	الحرب العظمى كانت بين فرنسا وحلفائها من جهة والإمبراطوريات المركزية من جهة أخرى.	ar	History, geography and culture
ما هي تواريخ الحرب العالمية الثانية؟	1914-1918	1936-1939	1939-1945	1945-1950	الخيار_ج	انتهى الصراع العالمي بانتصار الحلفاء في عام 1945.	ar	History, geography and culture
من هو الجنرال الفرنسي الذي تولى السلطة في عام 1799 وأصبح إمبراطورًا؟	شارلمان	لويس نابليون بونابرت	نابليون بونابرت	شارل ديغول	الخيار_ج	سيطر نابليون الأول على أوروبا في بداية القرن التاسع عشر.	ar	History, geography and culture
ما هو سن الرشد القانوني في فرنسا؟	16	18	21	25	الخيار_ب	تم تحديد سن الرشد المدني والسياسي بـ 18 عامًا منذ عام 1974.	ar	Rights and duties
التعليم إلزامي في فرنسا. من أي عمر إلى أي عمر؟	من 3 إلى 16 سنة	من 6 إلى 16 سنة	من 6 إلى 18 سنة	من 3 إلى 18 سنة	الخيار_أ	التعليم إلزامي من سن 3 سنوات وحتى 16 سنة.	ar	Living in French society
المدارس العامة في فرنسا هي:	مدفوعة الأجر ودينية	مجانية وعلمانية وإلزامية	مخصصة للبنين	اختيارية	الخيار_ب	المدرسة العامة قائمة على مجانية التعليم والعلمانية وإلزامية التعليم.	ar	Living in French society
أي نصب تذكاري في باريس يضم مقابر الشخصيات الفرنسية البارزة؟	برج إيفل	قوس النصر	البانثيون	متحف اللوفر	الخيار_ج	على جبهته نقش مكتوب: "إلى العظماء، الوطن ممتن".	ar	History, geography and culture
أي من هذه الأنهار لا يجري في فرنسا؟	السين	الرون	نهر التايمز	نهر اللوار	الخيار_ج	نهر التايمز يجري في إنجلترا.	ar	History, geography and culture
ما هو أطول نهر في فرنسا؟	نهر غارون	السين	الرون	نهر اللوار	الخيار_د	يبلغ طول نهر اللوار أكثر من 1000 كم.	ar	History, geography and culture
أي من هذه السلاسل الجبلية تشكل الحدود بين فرنسا وإسبانيا؟	جبال الألب	فوج	جبال البيرينيه	الكتلة الوسطى	الخيار_ج	جبال البيرينيه تفصل شبه الجزيرة الأيبيرية عن فرنسا.	ar	History, geography and culture
أي من هذه السلاسل الجبلية تشكل الحدود بين فرنسا وإيطاليا؟	جبال الألب	جبال الجورا	جبال البيرينيه	فوج	الخيار_أ	تضم جبال الألب جبل مونت بلانك، أعلى قمة في أوروبا الغربية.	ar	History, geography and culture
كم عدد المقاطعات في فرنسا (تقريبًا)؟	50	101	150	200	الخيار_ب	هناك 96 مقاطعة في البر الرئيسي و5 مقاطعات في ما وراء البحار.	ar	History, geography and culture
أي من هذه الأقاليم هو إقليم أو مقاطعة فرنسية ما وراء البحار (DROM)؟	تاهيتي	كاليدونيا الجديدة	غوادلوب	مدغشقر	الخيار_ج	غوادلوب ومارتينيك وغيانا وريونيون ومايوت هي أقاليم ما وراء البحار.	ar	History, geography and culture
في أي بلد يقع مقر البرلمان الأوروبي؟	ألمانيا	بلجيكا	فرنسا	إيطاليا	الخيار_ج	يقع المقر الرسمي للبرلمان الأوروبي في ستراسبورغ، فرنسا.	ar	Institutional and political system
ما هو المعاهدة التي أنشأت الاتحاد الأوروبي رسمياً في عام 1992؟	معاهدة روما	معاهدة ماستريخت	معاهدة فرساي	معاهدة باريس	الخيار_ب	أنشأت معاهدة ماستريخت الاتحاد الأوروبي وأرست أسس اليورو.	ar	Institutional and political system
كم عدد الدول التي تتألف منها الاتحاد الأوروبي اليوم؟ (في عام 2024)	15	27	30	28	الخيار_ب	منذ خروج بريطانيا من الاتحاد الأوروبي، يضم الاتحاد الأوروبي 27 دولة عضو.	ar	Institutional and political system
ما هي عملة فرنسا؟	الفرنك	الجنيه	اليورو	الدولار	الخيار_ج	اعتمدت فرنسا اليورو كعملة مشتركة مع دول الاتحاد الأوروبي الأخرى.	ar	Institutional and political system
من كتب رواية "البؤساء"؟	موليير	فيكتور هوجو	إميل زولا	فولتير	الخيار_ب	فيكتور هوجو هو أحد أعظم الكتاب والشعراء الفرنسيين في القرن التاسع عشر.	ar	History, geography and culture
أي من هؤلاء الكتاب المسرحيين اشتهر بكوميدياته في القرن السابع عشر؟	بودلير	موليير	ألبرت كامو	مارسيل بروست	الخيار_ب	موليير هو مؤلف مسرحيات مثل "الترتوف" و"البخيل".	ar	History, geography and culture
ما هو المبنى الرسمي الموجود في كل بلدية في فرنسا؟	كاتدرائية	محافظة	مبنى البلدية	محكمة	الخيار_ج	مجلس البلدية (أو دار البلدية) هو مقر الإدارة المحلية.	ar	Institutional and political system
أين يجب أن يتم إجراء الزواج ليكون صالحًا في فرنسا؟	في الكنيسة	في البلدية	عند كاتب العدل	في المحكمة	الخيار_ب	الزواج المدني (في البلدية) هو الوحيد الذي له قيمة قانونية في فرنسا.	ar	Living in French society
ما هو الضريبة الرئيسية التي تمول الحماية الاجتماعية (المرض والتقاعد) في فرنسا؟	ضريبة القيمة المضافة	الاشتراكات الاجتماعية (CSG/CRDS)	ضريبة الثروة	ضريبة السكن	الخيار_ب	يتم تمويل التضامن الوطني من خلال الاشتراكات والمساهمات الاجتماعية.	ar	Rights and duties
ما هو واجب المواطن الفرنسي في مجال الدفاع؟	الخدمة العسكرية لمدة عام واحد	المشاركة في يوم الدفاع والمواطنة (JDC)	شراء سلاح	لا يوجد أي واجب	الخيار_ب	يوم الدفاع والمواطنة إلزامي للشباب الذين تتراوح أعمارهم بين 16 و25 عامًا.	ar	Rights and duties
الجمهورية الفرنسية واحدة و:	غير قابلة للتجزئة	متعددة	إقليمية	منفصلة	الخيار_أ	ينص المادة 1 من الدستور على ما يلي: فرنسا جمهورية غير قابلة للتجزئة وعلمانية وديمقراطية واجتماعية.	ar	Principles and values of the Republic
من يصوت على القوانين في فرنسا؟	الرئيس	رئيس الوزراء	البرلمان (الجمعية الوطنية ومجلس الشيوخ)	المجلس الدستوري	الخيار_ج	السلطة التشريعية هي من اختصاص البرلمان.	ar	Institutional and political system
ما هي إعلان حقوق الإنسان والمواطن؟	معاهدة سلام	نص أساسي صادر عام 1789 ينص على حقوق الإنسان الطبيعية	قانون أوروبي	قانون المرور	الخيار_ب	تم اعتماده في بداية الثورة الفرنسية عام 1789.	ar	History, geography and culture
أي من هذه الحقوق غير مضمون في فرنسا؟	حرية التعبير	حرية العبادة	الحق في عدم دفع الضرائب	الحق في الإضراب	الخيار_ج	دفع الضرائب هو واجب مواطني لتمويل الخدمات العامة.	ar	Rights and duties
ما اسم النشيد الوطني للاتحاد الأوروبي؟	لا مارسيليز	أغنية الفرح	حفظ الله الملك	أغنية المقاتلين	الخيار_ب	أغنية الفرح مأخوذة من السيمفونية التاسعة لبيتهوفن.	ar	Institutional and political system
أي ملك من ملوك الفرنجة اعتنق المسيحية وتعمّد حوالي عام 496؟	شارلمان	كلوفيس	هنري الرابع	لويس الرابع عشر	الخيار_ب	يعتبر تعميد كلوفيس لحظة تأسيسية في تاريخ فرنسا.	ar	History, geography and culture
من توج البابا إمبراطورًا للغرب في عام 800؟	نابليون	يوليوس قيصر	شارلمان	لويس السادس عشر	الخيار_ج	أسس شارلمان إمبراطورية ضخمة في أوروبا وعاصمتها آخن.	ar	History, geography and culture
من هي البطلة التي ساعدت الملك شارل السابع في طرد الإنجليز خلال حرب المائة عام؟	جان دارك	كاترين دي ميديشي	أليينور دو أكيتين	أوليمب دي غوج	الخيار_أ	حررت جان دارك مدينة أورليان في عام 1429 قبل أن تُحرق حية في روان في عام 1431.	ar	History, geography and culture
أي ملك أنهى الحروب الدينية بتوقيعه مرسوم نانت في عام 1598؟	لويس الثالث عشر	فرانسوا الأول	هنري الرابع	فيليب الجميل	الخيار_ج	منح مرسوم نانت حرية العبادة للبروتستانت.	ar	History, geography and culture
من صاغ إعلان حقوق المرأة والمواطنة في عام 1791؟	سيمون دي بوفوار	جورج ساند	أوليمب دي غوج	ماري كوري	الخيار_ج	كانت أوليمب دي غوج واحدة من أوائل النسويات الفرنسيات، وقد أعدمت بالغيلوتين خلال الثورة.	ar	History, geography and culture
في أي جمهورية تم التصويت على القوانين التي تجعل التعليم العلماني مجانيًا وإلزاميًا؟	الجمهورية الأولى	الجمهورية الثانية	الجمهورية الثالثة	الجمهورية الخامسة	الخيار_ج	تم تمرير هذه القوانين على يد جول فيري في عامي 1881 و 1882 في عهد الجمهورية الثالثة.	ar	History, geography and culture
في أي عام تم إلغاء عقوبة الإعدام في فرنسا؟	1945	1968	1981	2000	الخيار_ج	ألغيت في عام 1981 في عهد الرئيس فرانسوا ميتران بموجب قانون قدمه روبرت بادينتر.	ar	Institutional and political system
من هي وزيرة الصحة التي دفعت إلى تمرير القانون الذي يشرع الإجهاض في عام 1975؟	سيمون فيل	إديث كريسون	كريستيان توبيرا	سيغولين رويال	الخيار_أ	دافعت سيمون فيل عن هذا الحق الأساسي للمرأة على الرغم من المعارضة الشديدة.	ar	History, geography and culture
من هو العالم الفرنسي الشهير الذي طور لقاح داء الكلب في عام 1885؟	بيير كوري	لويس باستور	رينيه ديكارت	بليز باسكال	الخيار_ب	لويس باستور هو رائد في علم الأحياء الدقيقة.	ar	History, geography and culture
أي عالمة من أصل بولندي حصلت على الجنسية الفرنسية وفازت بجائزتي نوبل؟	ماري كوري	صوفي جيرمان	إميلي دو شاتليت	لوسي أوبراك	الخيار_أ	اكتشفت ماري كوري الراديوم والبولونيوم مع زوجها بيير.	ar	History, geography and culture
ما هي ثاني أكبر مدينة في فرنسا (من حيث عدد السكان داخل الأسوار)؟	ليون	تولوز	مرسيليا	بوردو	الخيار_ج	مرسيليا الواقعة على ساحل البحر الأبيض المتوسط هي ثاني أكبر مدينة من حيث عدد السكان.	ar	History, geography and culture
ما هو البحر الذي يحد جنوب فرنسا؟	البحر الأسود	البحر الأحمر	البحر الأبيض المتوسط	بحر الشمال	الخيار_ج	الساحل الجنوبي لفرنسا (الساحل الأزرق واللانغدوك) يطل على البحر الأبيض المتوسط.	ar	History, geography and culture
ما هو المحيط الذي يحد غرب فرنسا؟	المحيط الهادئ	المحيط الهندي	المحيط المتجمد الشمالي	المحيط الأطلسي	الخيار_د	الواجهة الغربية لفرنسا تطل على المحيط الأطلسي.	ar	History, geography and culture
ما هو أعلى نقطة في فرنسا وأوروبا الغربية؟	بيتون دو لا فورنايز	مونت بلانك	بيك دو ميدي	بوي دوم	الخيار_ب	يبلغ ارتفاع جبل مونت بلانك حوالي 4805 مترًا في جبال الألب.	ar	History, geography and culture
أي من هذه البلدان لا تحدها فرنسا بحدود برية؟	ألمانيا	إيطاليا	إسبانيا	المملكة المتحدة	الخيار_د	المملكة المتحدة تفصلها عن فرنسا البحر (قناة المانش).	ar	History, geography and culture
ما هي المنطقة الفرنسية المشهورة بشكل خاص بقصورها التي تعود إلى عصر النهضة؟	بريتاني	الألزاس	وادي اللوار	نورماندي	الخيار_ج	تقع شامبورد وشينونسو وأمبواز في وادي اللوار.	ar	History, geography and culture
ما هي الفرانكوفونية؟	معاهدة سلام أوروبية	مجموعة الأشخاص والبلدان التي تستخدم اللغة الفرنسية	عملة قديمة	حزب سياسي	الخيار_ب	تقوم المنظمة الدولية للفرانكوفونية (OIF) بتعزيز اللغة والتعاون.	ar	History, geography and culture
في أي متحف باريسي يمكن مشاهدة لوحة الموناليزا؟	متحف أورسيه	مركز بومبيدو	متحف اللوفر	متحف كاي برانلي	الخيار_ج	متحف اللوفر هو أكبر متحف للفنون والآثار في العالم.	ar	History, geography and culture
من هما أوغست ولويس لوميير؟	رسامان انطباعيان	مخترعي السينما	مستكشفان	رؤساء فرنسيون	الخيار_ب	اخترع الأخوان لوميير السينما في نهاية القرن التاسع عشر.	ar	History, geography and culture
أي من هذه الأطباق يعتبر من الأطباق الكلاسيكية في المطبخ الفرنسي؟	الباييلا	البيتزا	لحم البقر البورغيني	السمك والبطاطس	الخيار_ج	تم إدراج المطبخ الفرنسي في قائمة التراث الثقافي غير المادي لليونسكو.	ar	Living in French society
ما هو دور المجلس الدستوري؟	تعيين الوزراء	التحقق من أن القوانين تتوافق مع الدستور	إدارة ميزانية الدولة	القبض على المجرمين	الخيار_ب	يضمن أن القوانين التي يتم التصويت عليها لا تتعارض مع مبادئ الدستور.	ar	Institutional and political system
من يدير أعمال الحكومة الفرنسية؟	رئيس الجمهورية	وزير الداخلية	رئيس الوزراء	رئيس مجلس الشيوخ	الخيار_ج	رئيس الوزراء هو رئيس الحكومة.	ar	Institutional and political system
ما هو اسم النص الأساسي الذي ينظم مؤسسات الدولة الفرنسية؟	القانون المدني	القانون الجنائي	الدستور	معاهدة روما	الخيار_ج	الدستور الحالي هو دستور الجمهورية الخامسة (1958).	ar	Institutional and political system
خلال حفل رسمي يرتدي فيه العمدة زيًا يمثل الدولة؟	تاج	وشاح ثلاثي الألوان	عباءة سوداء	سوار أبيض	الخيار_ب	الوشاح الأزرق والأبيض والأحمر يرمز إلى سلطته ودوره كممثل للجمهورية.	ar	Institutional and political system
ما هو الهدف الرئيسي للضرائب في فرنسا؟	إثراء المنتخبين	تمويل الخدمات العامة (المدارس والمستشفيات والطرق)	سداد ديون الدول الأخرى	تمويل الشركات الخاصة	الخيار_ب	الضرائب واجب مواطني يتيح التضامن الوطني وعمل الدولة.	ar	Rights and duties
ماذا يعني اختصار PACS؟	حزب مناهض للرأسمالية والاجتماعي	خطة العمل المدني والاجتماعي	ميثاق التضامن المدني	رخصة قيادة آمنة	الخيار_ج	PACS هو عقد ينظم الحياة المشتركة بين شخصين بالغين.	ar	Living in French society
من له الحق في التصويت في الانتخابات البلدية في فرنسا؟	المواطنون الفرنسيون فقط	المواطنون الفرنسيون والأوروبيون المقيمون في البلدية	جميع المقيمين في العالم	الأشخاص الذين تزيد أعمارهم عن 21 عامًا فقط	الخيار_ب	يمكن لمواطني الاتحاد الأوروبي المقيمين في فرنسا التصويت في الانتخابات البلدية.	ar	Rights and duties
باسم من يتم إقامة العدل في فرنسا؟	رئيس الجمهورية	الله	الشعب الفرنسي	القضاة	الخيار_ج	تصدر الأحكام القضائية باسم الشعب الفرنسي.	ar	Institutional and political system
ما هو افتراض البراءة؟	كل شخص متهم هو مذنب حتى تثبت براءته	يُعتبر كل متهم بريئاً حتى تثبت إدانته	لا يجوز محاكمة أي شخص	الأثرياء لا يدخلون السجن	الخيار_ب	هذا مبدأ أساسي من مبادئ حقوق الإنسان التي يكفلها القانون الفرنسي.	ar	Principles and values of the Republic
أي من أرقام الطوارئ هذه يمكن الاتصال بها للوصول إلى SAMU (الطوارئ الطبية)؟	15	17	18	112	الخيار_أ	15 هو رقم SAMU و17 هو رقم الشرطة و18 هو رقم الإطفاء.	ar	Living in French society
ما هو رقم الطوارئ الأوروبي الموحد؟	911	112	118	999	الخيار_ب	رقم 112 يعمل في جميع دول الاتحاد الأوروبي.	ar	Living in French society
ما هو الدور الرئيسي للنقابات في فرنسا؟	تنظيم الاحتفالات	الدفاع عن حقوق ومصالح العمال	استبدال الحكومة	إدارة البنوك	الخيار_ب	يكفل الدستور الحق في الانضمام إلى النقابات والحق في الإضراب.	ar	Rights and duties
ما الذي يضمنه حق حرية الضمير المنصوص عليه في قانون الفصل بين الكنيسة والدولة لعام 1905؟	الحق في الإيمان أو عدم الإيمان وممارسة الدين الذي يختاره المرء	الالتزام باعتناق دين	حظر الذهاب إلى الكنيسة	الالتزام بدعم دين ما مالياً	الخيار_أ	هذا هو المبدأ الأساسي للعلمانية الفرنسية.	ar	Principles and values of the Republic
ما الذي ترمز إليه الأخوة في الشعار الجمهوري؟	المنافسة	التضامن والتعاضد بين المواطنين	الطاعة	قانون الأقوى	الخيار_ب	تتجلى الأخوة بشكل خاص في نظام الضمان الاجتماعي والضرائب.	ar	Principles and values of the Republic
كيف يتكون علم الاتحاد الأوروبي؟	نسر على خلفية حمراء	12 نجمة ذهبية في شكل دائرة على خلفية زرقاء	صليب أبيض على خلفية حمراء	خطوط عمودية زرقاء وصفراء	الخيار_ب	تمثل النجوم مُثُل الوحدة والتضامن والوئام بين الشعوب.	ar	Institutional and political system
في أي عام بدأ تداول العملات المعدنية والورقية باليورو؟	1992	1999	2002	2010	الخيار_ج	حل اليورو المادي محل الفرنك الفرنسي في 1 يناير 2002.	ar	Institutional and political system
ما الغرض من منطقة شنغن في أوروبا؟	استخدام العملة نفسها	لضمان حرية تنقل الأشخاص بين الدول الأعضاء دون مراقبة على الحدود الداخلية	لإنشاء جيش مشترك	لتحدث نفس اللغة	الخيار_ب	تسمح بالسفر والعمل والعيش بحرية في المنطقة المعنية.	ar	Institutional and political system
أي نبيل فرنسي ذهب للقتال إلى جانب جورج واشنطن خلال حرب الاستقلال الأمريكية؟	نابليون	الماركيز دي لافاييت	روبسبير	دانتون	الخيار_ب	لافاييت هو رمز للصداقة التاريخية بين فرنسا والولايات المتحدة.	ar	History, geography and culture
ما هي المعركة الشهيرة التي وقعت عام 1805 والتي غالبًا ما تُعتبر تحفة نابليون الأول التكتيكية؟	واترلو	فردان	أوسترليتز	مارينيان	الخيار_ج	تُعرف معركة أوسترليتز أيضًا باسم معركة الأباطرة الثلاثة.	ar	History, geography and culture
في أي مكان بالضبط تم توقيع الهدنة في 11 نوفمبر 1918؟	في فرساي	في عربة قطار في ريتوند	في برج إيفل	في قصر الإليزيه	الخيار_ب	تم توقيع الهدنة التي أنهت حرب العالم الأولى في غابة كومبيين.	ar	History, geography and culture
ما هو التحالف السياسي الذي أقر أول أسبوعين من الإجازة المدفوعة الأجر في فرنسا عام 1936؟	الجبهة الوطنية	الجبهة الشعبية	فرنسا غير الخاضعة	التجمع من أجل الجمهورية	الخيار_ب	حققت الجبهة الشعبية بقيادة ليون بلوم تقدمًا اجتماعيًا كبيرًا.	ar	History, geography and culture
من هم السياسيون الذين يُعتبرون الآباء المؤسسين لأوروبا ما بعد الحرب؟	ديغول وتشرشل	روبرت شومان وجان مونيه	ميتران وكول	ماكرون وميركل	الخيار_ب	وضع إعلان شومان عام 1950 حجر الأساس للاتحاد الأوروبي.	ar	History, geography and culture
من هي الكاتبة والفيلسوفة التي نشرت كتاب "الجنس الثاني" الذي يعد من أهم مؤلفات الحركة النسوية؟	سيمون فيل	سيمون دي بوفوار	كوليت	مارغريت دورا	الخيار_ب	كتبت سيمون دي بوفوار "لا نولد نساءً، بل نصبح نساءً".	ar	History, geography and culture
هل تمنح حرية التعبير في فرنسا الحق في الإهانة أو التحريض على الكراهية العنصرية؟	نعم، إنها الحرية المطلقة	نعم، ولكن فقط على الإنترنت	لا، هذه الأفعال جرائم يعاقب عليها القانون	نعم، إذا كنت مجهول الهوية	الخيار_ج	حرية التعبير لها حدود يحددها القانون لحماية الأشخاص.	ar	Rights and duties
أين ألقى الجنرال ديغول خطاب 18 يونيو 1940؟	في باريس	في راديو لندن (BBC)	في نيويورك	في الجزائر	الخيار_ب	دعا هذا النداء المؤسس الفرنسيين إلى مواصلة القتال ضد ألمانيا النازية.	ar	History, geography and culture
ما هي الأغنية التي أصبحت نشيد المقاومة الفرنسية تحت الاحتلال؟	لا مارسيليز	أغنية المقاتلين	Le Temps des cerises	لا كارماغنول	الخيار_ب	تم تأليفها من قبل جوزيف كيسيل وموريس دروون في عام 1943.	ar	History, geography and culture
ماذا يعني اختصار TGV في وسائل النقل الفرنسية؟	النقل العام للركاب	قطار فائق السرعة	النقل العالمي المتعدد الاستخدامات	Traction et Glissement de Voie	الخيار_ب	شبكة TGV هي أحد رموز الخبرة الصناعية الفرنسية.	ar	Living in French society
ما هي أعلى سلطة قضائية في فرنسا؟	المحكمة الجنائية	محكمة الاستئناف	محكمة النقض	مجلس الدولة	الخيار_ج	تتحقق محكمة النقض من أن القوانين قد طبقت بشكل صحيح من قبل المحاكم الأخرى.	ar	Institutional and political system
إذا توفي رئيس الجمهورية أو استقال، من يتولى منصبه مؤقتًا؟	رئيس الوزراء	رئيس الجمعية الوطنية	رئيس مجلس الشيوخ	وزير الداخلية	الخيار_ج	حدث ذلك في عامي 1969 و1974 مع آلان بوهر (رئيس مجلس الشيوخ).	ar	Institutional and political system
كيف يتم تمثيل العدالة تقليديًا في فرنسا؟	بواسطة نسر	بواسطة امرأة معصوبة العينين تحمل ميزانًا (وغالبًا سيفًا)	بكتاب مفتوح	بواسطة حمامة	الخيار_ب	يُظهر هذا الرمز أن العدالة يجب أن تكون نزيهة ومنصفة.	ar	Principles and values of the Republic
