question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
Ulusal Meclis nerede toplanır?	Lüksemburg Sarayı'nda	Élysée Sarayı'nda	Bourbon Sarayı'nda	Belediye Binası'nda	seçenek_c	Senato ile birlikte Parlamentoyu oluşturan Ulusal Meclis, Bourbon Sarayında toplanır.	tr	Institutional and political system
Senato nerede toplanır?	Lüksemburg Sarayı'nda	Bourbon Sarayı'nda	Panteon'da	Invalides'te	seçenek_a	Senato, Fransız Parlamentosunun üst meclisidir.	tr	Institutional and political system
Kilise ve devletin ayrılması yasası hangi yılda kabul edildi?	1789	1848	1905	1945	seçenek_c	1905 tarihli yasa, Fransa'da laikliğin temelini oluşturur.	tr	History, geography and culture
Fransa'da laiklik nedir?	Dinlerin yasaklanması	Devlet dini	Devletin din konusunda tarafsızlığı	Din sahibi olma zorunluluğu	seçenek_c	Laiklik, vicdan özgürlüğünü garanti eder ve devleti dinlerden ayırır.	tr	Principles and values of the Republic
Fransa'da kadınlar hangi yılda oy kullanma hakkını elde ettiler?	1789	1905	1944	1968	seçenek_c	Kadınlara oy hakkı 1944 yılında General de Gaulle tarafından verilmiştir.	tr	History, geography and culture
Fransa'da kölelik hangi yılda kesin olarak kaldırıldı?	1789	1848	1905	1944	seçenek_b	Kesin olarak kaldırılması 1848 yılında II. Cumhuriyet döneminde (Victor Schoelcher) ilan edildi.	tr	History, geography and culture
Şu anda hangi cumhuriyet döneminde yaşıyoruz?	III. Cumhuriyet	IV. Cumhuriyet	Beşinci Cumhuriyet	VI. Cumhuriyet	seçenek_c	V. Cumhuriyet, 1958 yılında Charles de Gaulle tarafından kurulmuştur.	tr	Institutional and political system
Hangi Fransa kralı Güneş Kral olarak anılıyordu?	Henri IV	XIV. Louis	XVI. Louis	I. François	seçenek_b	Versay Sarayı'nın inşasıyla ünlü XIV. Louis, Güneş Kralı'dır.	tr	History, geography and culture
İkinci Dünya Savaşı sırasında Londra'dan Fransız Direnişini kim yönetti?	Jean Moulin	Mareşal Pétain	General de Gaulle	Winston Churchill	seçenek_c	Charles de Gaulle, 18 Haziran 1940'ta bir çağrı yaptı.	tr	History, geography and culture
Fransa'daki iç direnişi kim birleştirdi?	Charles de Gaulle	Jean Moulin	Léon Blum	Victor Hugo	seçenek_b	Jean Moulin, Ulusal Direniş Konseyi'ni kurdu.	tr	History, geography and culture
Birinci Dünya Savaşı'nın tarihleri nelerdir?	1870-1871	1914-1918	1939-1945	1954-1962	seçenek_b	Büyük Savaş, Fransa ve müttefiklerini merkez imparatorluklara karşı karşıya getirdi.	tr	History, geography and culture
İkinci Dünya Savaşı'nın tarihleri nelerdir?	1914-1918	1936-1939	1939-1945	1945-1950	seçenek_c	Dünya savaşı, 1945 yılında Müttefiklerin zaferiyle sona erdi.	tr	History, geography and culture
1799'da iktidarı ele geçiren ve imparator olan Fransız general kimdir?	Şarlman	Louis-Napoléon Bonaparte	Napolyon Bonapart	Charles de Gaulle	seçenek_c	Napolyon I, 19. yüzyılın başında Avrupa'ya hakim oldu.	tr	History, geography and culture
Fransa'da yasal reşit olma yaşı kaçtır?	16	18	21	25	seçenek_b	1974 yılından beri medeni ve siyasi reşitlik yaşı 18 olarak belirlenmiştir.	tr	Rights and duties
Fransa'da okul zorunludur. Hangi yaştan hangi yaşa kadar?	3 ila 16 yaş	6 ila 16 yaş	6 ila 18 yaş	3 ila 18 yaş	seçenek_a	Eğitim 3 yaşından 16 yaşına kadar zorunludur.	tr	Living in French society
Fransa'da devlet okulu:	Ücretli ve dini	Ücretsiz, laik ve zorunludur	Erkeklere ayrılmıştır	İsteğe bağlıdır	seçenek_b	Devlet okulu ücretsiz, laik ve zorunlu eğitim ilkelerine dayanır.	tr	Living in French society
Hangi Paris anıtında Fransızların önemli şahsiyetlerinin mezarları bulunmaktadır?	Eyfel Kulesi	Zafer Takı	Panteon	Louvre	seçenek_c	Cephesinde şu yazı yazılıdır: Büyük adamlara minnettar vatan.	tr	History, geography and culture
Aşağıdaki nehirlerden hangisi Fransa'da akmamaktadır?	Seine	Rhône	Taimer	Loire	seçenek_c	Tamise Nehri İngiltere'de akar.	tr	History, geography and culture
Fransa'nın en uzun nehri hangisidir?	Garonne	Seine	Rhône	Loire	seçenek_d	Loire Nehri 1000 km'den uzun.	tr	History, geography and culture
Bu dağ sıralarından hangisi Fransa ile İspanya arasındaki sınırı oluşturur?	Alpler	Vosges	Pireneler	Merkez Dağlık Bölgesi	seçenek_c	Pireneler, İber Yarımadası ile Fransa'yı birbirinden ayırır.	tr	History, geography and culture
Bu dağ sıralarından hangisi Fransa ile İtalya arasındaki sınırı oluşturur?	Alpler	Jura	Pireneler	Vosges	seçenek_a	Alpler, Batı Avrupa'nın en yüksek zirvesi olan Mont Blanc'a ev sahipliği yapmaktadır.	tr	History, geography and culture
Fransa'da (yaklaşık) kaç departman vardır?	50	101	150	200	seçenek_b	96 metropol departmanı ve 5 denizaşırı departmanı vardır.	tr	History, geography and culture
Bu bölgelerden hangisi Fransız denizaşırı departmanı veya bölgesidir (DROM)?	Tahiti	Yeni Kaledonya	Guadeloupe	Madagaskar	seçenek_c	Guadeloupe, Martinik, Guyana, Réunion ve Mayotte DROM'lardır.	tr	History, geography and culture
Avrupa Parlamentosu'nun merkezi hangi ülkede bulunmaktadır?	Almanya	Belçika	Fransa	İtalya	seçenek_c	Avrupa Parlamentosu resmi olarak Fransa'nın Strazburg kentinde bulunmaktadır.	tr	Institutional and political system
1992 yılında Avrupa Birliği'ni resmi olarak kuran antlaşma hangisidir?	Roma Antlaşması	Maastricht Antlaşması	Versay Antlaşması	Paris Antlaşması	seçenek_b	Maastricht Antlaşması, Avrupa Birliği'ni kurmuş ve avronun temellerini atmıştır.	tr	Institutional and political system
Bugün Avrupa Birliği'ni kaç ülke oluşturmaktadır? (2024 yılında)	15	27	30	28	seçenek_b	Brexit'ten bu yana AB'nin 27 üye ülkesi bulunmaktadır.	tr	Institutional and political system
Fransa'nın para birimi nedir?	Fransız frangı	Lira	Euro	Dolar	seçenek_c	Fransa, diğer AB ülkeleriyle ortak para birimi olarak Euro'yu benimsemiştir.	tr	Institutional and political system
Les Misérables'ı kim yazmıştır?	Molière	Victor Hugo	Émile Zola	Voltaire	seçenek_b	Victor Hugo, 19. yüzyılın en büyük Fransız yazar ve şairlerinden biridir.	tr	History, geography and culture
Aşağıdaki oyun yazarlarından hangisi 17. yüzyılda komedileriyle ünlüdür?	Baudelaire	Molière	Albert Camus	Marcel Proust	seçenek_b	Molière, Le Tartuffe veya L'Avare gibi oyunların yazarıdır.	tr	History, geography and culture
Fransa'nın her belediyesinde bulunan resmi bina hangisidir?	Bir katedral	Bir valilik	Bir belediye binası	Bir mahkeme	seçenek_c	Belediye binası (veya Belediye Sarayı), yerel yönetimin merkezi konumundadır.	tr	Institutional and political system
Fransa'da bir evliliğin geçerli olması için nerede kutlanması zorunludur?	Kilisede	Belediye binasında	Noterde	Mahkemede	seçenek_b	Fransa'da sadece medeni evlilik (belediye binasında) yasal geçerliliğe sahiptir.	tr	Living in French society
Fransa'da sosyal güvenliği (hastalık, emeklilik) finanse eden başlıca vergi hangisidir?	KDV	Sosyal güvenlik katkı payları (CSG/CRDS)	Servet vergisi	Konut vergisi	seçenek_b	Ulusal dayanışma, sosyal aidatlar ve katkı payları ile finanse edilmektedir.	tr	Rights and duties
Bir Fransız vatandaşının savunma konusunda görevi nedir?	1 yıl askerlik yapmak	JDC'ye (Savunma ve Vatandaşlık Günü) katılmak	Silah satın almak	Hiçbir görevi yoktur	seçenek_b	JDC, 16 ile 25 yaş arasındaki gençler için zorunludur.	tr	Rights and duties
Fransız Cumhuriyeti tek ve bölünmez bir devlettir:	Bölünmez	Çoklu	Bölgesel	Ayrı	seçenek_a	Anayasanın 1. maddesi şunu belirtir: Fransa bölünmez, laik, demokratik ve sosyal bir cumhuriyettir.	tr	Principles and values of the Republic
Fransa'da yasaları kim oylar?	Cumhurbaşkanı	Başbakan	Parlamento (Ulusal Meclis ve Senato)	Anayasa Mahkemesi	seçenek_c	Yasama yetkisi Parlamentoya aittir.	tr	Institutional and political system
İnsan ve Vatandaş Hakları Bildirgesi nedir?	Bir barış antlaşması	1789 tarihli, insanın doğal haklarını belirten temel bir metin	Bir Avrupa yasası	Trafik kanunu	seçenek_b	1789 Fransız Devrimi'nin başlangıcında kabul edilmiştir.	tr	History, geography and culture
Aşağıdaki haklardan hangisi Fransa'da garanti altında DEĞİLDİR?	İfade özgürlüğü	Din özgürlüğü	Vergi ödememe hakkı	Grev hakkı	seçenek_c	Vergi ödemek, kamu hizmetlerini finanse etmek için vatandaşların görevidir.	tr	Rights and duties
Avrupa Birliği'nin marşı ne adlandırılır?	La Marseillaise	Ode à la joie	God Save the King	Partizanların Şarkısı	seçenek_b	Ode à la joie, Beethoven'ın 9. senfonisinden alınmıştır.	tr	Institutional and political system
Hangi Frank kralı Hristiyanlığa dönerek 496 yılında vaftiz edildi?	Şarlman	Clovis	Henri IV	XIV. Louis	seçenek_b	Clovis'in vaftizi, Fransa tarihinin dönüm noktası olarak kabul edilir.	tr	History, geography and culture
800 yılında papa tarafından Batı İmparatoru olarak taç giydirilen kişi kimdir?	Napolyon	Jül Sezar	Şarlman	XVI. Louis	seçenek_c	Charlemagne, başkenti Aix-la-Chapelle olan devasa bir imparatorluk kurdu.	tr	History, geography and culture
Yüz Yıl Savaşları sırasında Kral VII. Charles'a İngilizleri kovmada yardım eden kahraman kimdi?	Jeanne d'Arc	Katarina de Medici	Aquitaine'li Aliénor	Olympe de Gouges	seçenek_a	Jeanne d'Arc, 1429'da Orléans'ı kurtardıktan sonra 1431'de Rouen'da diri diri yakıldı.	tr	History, geography and culture
1598'de Nantes Fermanı'nı imzalayarak din savaşlarına son veren kral hangisidir?	XIII. Louis	I. François	Henri IV	Philippe le Bel	seçenek_c	Nantes Fermanı Protestanlara din özgürlüğü tanıdı.	tr	History, geography and culture
1791 yılında Kadın ve Vatandaş Hakları Bildirgesi'ni kim kaleme aldı?	Simone de Beauvoir	George Sand	Olympe de Gouges	Marie Curie	seçenek_c	Olympe de Gouges, Fransa'nın ilk feministlerinden biriydi ve Devrim sırasında giyotinle idam edildi.	tr	History, geography and culture
Okulların laik, ücretsiz ve zorunlu hale getirilmesini öngören yasalar hangi cumhuriyet döneminde kabul edildi?	I. Cumhuriyet	II. Cumhuriyet	III. Cumhuriyet	Beşinci Cumhuriyet	seçenek_c	Bu yasalar, 1881 ve 1882 yıllarında III. Cumhuriyet döneminde Jules Ferry tarafından yürürlüğe konuldu.	tr	History, geography and culture
Fransa'da idam cezası hangi yılda kaldırıldı?	1945	1968	1981	2000	seçenek_c	1981 yılında François Mitterrand'ın başkanlığı döneminde Robert Badinter tarafından hazırlanan bir yasa ile kaldırılmıştır.	tr	Institutional and political system
1975 yılında kürtajı yasallaştıran yasayı hangi sağlık bakanı oylattı?	Simone Veil	Édith Cresson	Christiane Taubira	Ségolène Royal	seçenek_a	Simone Veil, güçlü muhalefete rağmen kadınlar için bu temel hakkı savundu.	tr	History, geography and culture
1885 yılında kuduz aşısını geliştiren ünlü Fransız bilim adamı kimdir?	Pierre Curie	Louis Pasteur	René Descartes	Blaise Pascal	seçenek_b	Louis Pasteur, mikrobiyolojinin öncülerinden biridir.	tr	History, geography and culture
Polonya asıllı, Fransız vatandaşlığına geçmiş hangi bilim insanı iki Nobel ödülü kazanmıştır?	Marie Curie	Sophie Germain	Émilie du Châtelet	Lucie Aubrac	seçenek_a	Marie Curie, eşi Pierre ile birlikte radyum ve polonyumu keşfetti.	tr	History, geography and culture
Fransa'nın en büyük ikinci şehri (şehir içi nüfus olarak) hangisidir?	Lyon	Toulouse	Marsilya	Bordeaux	seçenek_c	Akdeniz kıyısında bulunan Marsilya, nüfus bakımından ikinci en büyük şehirdir.	tr	History, geography and culture
Fransa'nın güneyini hangi deniz çevrelemektedir?	Karadeniz	Kızıldeniz	Akdeniz	Kuzey Denizi	seçenek_c	Fransa'nın güney kıyısı (Côte d'Azur ve Languedoc) Akdeniz'e bakmaktadır.	tr	History, geography and culture
Fransa'nın batısını hangi okyanus çevrelemektedir?	Pasifik Okyanusu	Hint Okyanusu	Arktik Okyanusu	Atlantik Okyanusu	seçenek_d	Fransa'nın batı kıyıları Atlantik Okyanusu'na açılır.	tr	History, geography and culture
Fransa ve Batı Avrupa'nın en yüksek noktası neresidir?	Piton de la Fournaise	Mont Blanc	Pic du Midi	Puy de Dôme	seçenek_b	Mont Blanc, Alpler'de yaklaşık 4805 metre yüksekliğindedir.	tr	History, geography and culture
Aşağıdaki ülkelerden hangisi Fransa ile kara sınırı paylaşmamaktadır?	Almanya	İtalya	İspanya	Birleşik Krallık	seçenek_d	Birleşik Krallık, Fransa'dan denizle (Manş Denizi) ayrılmıştır.	tr	History, geography and culture
Hangi Fransız bölgesi Rönesans döneminden kalma şatolarıyla özellikle ünlüdür?	Brittany	Alsas	Loire Vadisi	Normandiya	seçenek_c	Chambord Chenonceau veya Amboise, Loire Vadisi'nde bulunmaktadır.	tr	History, geography and culture
Frankofoni nedir?	Avrupa barış antlaşması	Fransızca dilini kullanan tüm insanlar ve ülkeler	Eski bir para birimi	Bir siyasi parti	seçenek_b	Uluslararası Frankofoni Örgütü (OIF) dili ve işbirliğini teşvik eder.	tr	History, geography and culture
Paris'teki hangi müzede Mona Lisa tablosunu görebiliriz?	Orsay Müzesi	Pompidou Merkezi	Louvre	Quai Branly Müzesi	seçenek_c	Louvre, dünyanın en büyük sanat ve antika müzesidir.	tr	History, geography and culture
Auguste ve Louis Lumière kimlerdir?	İzlenimci ressamlar	Sinemanın mucitleri	Kaşifler	Fransız cumhurbaşkanları	seçenek_b	Lumière kardeşler, 19. yüzyılın sonunda sinemayı icat ettiler.	tr	History, geography and culture
Aşağıdaki yemeklerden hangisi Fransız mutfağının en klasik yemeklerinden biridir?	Paella	Pizza	Boeuf bourguignon	Fish and chips	seçenek_c	Fransız mutfağı, UNESCO'nun somut olmayan kültürel miras listesinde yer almaktadır.	tr	Living in French society
Anayasa Konseyi'nin rolü nedir?	Bakanları atamak	Yasaların Anayasa'ya uygunluğunu kontrol etmek	Devlet bütçesini yönetmek	Suçluları tutuklamak	seçenek_b	Oylanan yasaların Anayasa ilkelerine aykırı olmadığından emin olur.	tr	Institutional and political system
Fransız hükümetinin faaliyetlerini kim yönetir?	Cumhurbaşkanı	İçişleri Bakanı	Başbakan	Senato Başkanı	seçenek_c	Başbakan, hükümetin başkanıdır.	tr	Institutional and political system
Fransız devlet kurumlarını düzenleyen temel metnin adı nedir?	Medeni Kanun	Ceza Kanunu	Anayasa	Roma Antlaşması	seçenek_c	Mevcut Anayasa, Beşinci Cumhuriyet Anayasası'dır (1958).	tr	Institutional and political system
Belediye başkanının devleti temsil etmek üzere katıldığı resmi bir törende?	Bir taç	Üç renkli bir atkı	Siyah bir pelerin	Beyaz bir kol bandı	seçenek_b	Mavi, beyaz ve kırmızı şal, belediye başkanının otoritesini ve Cumhuriyet'i temsil eden rolünü simgeler.	tr	Institutional and political system
Fransa'da verginin temel amacı nedir?	Seçilmişleri zenginleştirmek	Kamu hizmetlerini (okullar, hastaneler, yollar) finanse etmek	Diğer ülkelerin borçlarını ödemek	Özel şirketleri finanse etmek	seçenek_b	Vergi, ulusal dayanışmayı ve devletin faaliyetlerini mümkün kılan bir vatandaşlık görevidir.	tr	Rights and duties
PACS kısaltması ne anlama gelir?	Antikapitalist ve Sosyal Parti	Sivil ve Sosyal Eylem Planı	Sivil Dayanışma Paktı	Güvenli Sürüş Ehliyeti	seçenek_c	PACS, iki reşit kişinin birlikte yaşamını düzenleyen bir sözleşmedir.	tr	Living in French society
Fransa'da belediye seçimlerinde kimler oy kullanma hakkına sahiptir?	Yalnızca Fransız vatandaşları	Belediye sınırları içinde ikamet eden Fransız ve Avrupa vatandaşları	Dünyanın her yerinden tüm sakinler	Yalnızca 21 yaşın üzerindeki kişiler	seçenek_b	Fransa'da yaşayan Avrupa Birliği vatandaşları belediye seçimlerinde oy kullanabilir.	tr	Rights and duties
Fransa'da adalet kimin adına sağlanır?	Cumhurbaşkanı	Tanrı adına	Fransız halkı adına	Yargıçlar	seçenek_c	Adalet kararları kimin adına verilir? Fransız halkı adına.	tr	Institutional and political system
Masumiyet karinesi nedir?	Suçlanan herkes, aksini ispat edilene kadar suçludur.	Suçlanan herkes, suçluluğu kanıtlanana kadar masum kabul edilir.	Hiç kimse yargılanamaz.	Zenginler hapse girmez.	seçenek_b	Bu, Fransız yasaları tarafından güvence altına alınmış temel bir insan hakkı ilkesidir.	tr	Principles and values of the Republic
Aşağıdaki acil numaralardan hangisi SAMU'ya (tıbbi acil durum) ulaşmak için kullanılır?	15	17	18	112	seçenek_a	15 numaralı numara SAMU, 17 numaralı numara polis ve 18 numaralı numara itfaiyeye ulaşır.	tr	Living in French society
Avrupa'nın tek acil durum numarası nedir?	911	112	118	999	seçenek_b	112, Avrupa Birliği'nin tüm ülkelerinde geçerlidir.	tr	Living in French society
Fransa'da sendikaların temel rolü nedir?	Partiler düzenlemek	İşçilerin hak ve çıkarlarını savunmak	Hükümetin yerini almak	Bankaları yönetmek	seçenek_b	Sendika hakkı ve grev hakkı Anayasa ile güvence altına alınmıştır.	tr	Rights and duties
1905 tarihli ayrılık yasasında yer alan vicdan özgürlüğü neyi garanti eder?	İnanma veya inanmama ve kendi seçtiği dini uygulama hakkı	Din sahibi olma zorunluluğu	Kiliseye gitmenin yasaklanması	Bir dini maddi olarak destekleme yükümlülüğü	seçenek_a	Bu, Fransız laikliğinin temel ilkesidir.	tr	Principles and values of the Republic
Cumhuriyet sloganında kardeşlik neyi simgeler?	Rekabet	Vatandaşlar arasında dayanışma ve yardımlaşma	İtaat	Güçlü olanın hukuku	seçenek_b	Kardeşlik, özellikle sosyal güvenlik ve vergi sistemi ile ifade edilir.	tr	Principles and values of the Republic
Avrupa Birliği bayrağı nasıl oluşur?	Kırmızı zemin üzerine bir kartal	Mavi zemin üzerinde daire şeklinde dizilmiş 12 altın yıldız	Kırmızı zemin üzerine beyaz haç	Mavi ve sarı dikey şeritler	seçenek_b	Yıldızlar, halklar arasında birlik, dayanışma ve uyum ideallerini temsil eder.	tr	Institutional and political system
Euro madeni paralar ve banknotlar hangi yılda dolaşıma girmiştir?	1992	1999	2002	2010	seçenek_c	Fiziksel euro, 1 Ocak 2002 tarihinde Fransız frangının yerini almıştır.	tr	Institutional and political system
Avrupa'da Schengen bölgesi ne işe yarar?	Aynı para birimini kullanmak	Üye ülkeler arasında iç sınırlarda kontrol olmaksızın kişilerin serbest dolaşımını sağlamak	Ortak bir ordu oluşturmak	Aynı dili konuşmak	seçenek_b	Bu alan içinde seyahat etmek, çalışmak ve özgürce yaşamak mümkün.	tr	Institutional and political system
Amerikan Bağımsızlık Savaşı sırasında George Washington'un yanında savaşmaya giden Fransız asilzade kimdir?	Napolyon	Marquis de Lafayette	Robespierre	Danton	seçenek_b	Lafayette, Fransa ve Amerika Birleşik Devletleri arasındaki tarihi dostluğun sembolüdür.	tr	History, geography and culture
1805 yılında gerçekleşen ve genellikle Napolyon I'in taktiksel başyapıtı olarak kabul edilen ünlü savaş hangisidir?	Waterloo	Verdun	Austerlitz	Marignan	seçenek_c	Austerlitz, Üç İmparator Savaşı olarak da bilinir.	tr	History, geography and culture
11 Kasım 1918'de ateşkes anlaşması tam olarak nerede imzalandı?	Versay	Rethondes'da bir vagon içinde	Eiffel Kulesi'nde	Élysée Sarayı'nda	seçenek_b	Büyük Savaş'ın sona ermesini simgeleyen ateşkes, Compiègne ormanında imzalandı.	tr	History, geography and culture
1936 yılında Fransa'da ilk iki haftalık ücretli izin uygulamasını hangi siyasi koalisyon başlattı?	Ulusal Cephe	Halk Cephesi	Fransa'nın İsyanı	Cumhuriyet için Birlik	seçenek_b	Léon Blum liderliğindeki Halk Cephesi, büyük sosyal ilerlemeler sağladı.	tr	History, geography and culture
Hangi politikacılar savaş sonrası Avrupa'nın kurucuları olarak kabul edilir?	De Gaulle ve Churchill	Robert Schuman ve Jean Monnet	Mitterrand ve Kohl	Macron ve Merkel	seçenek_b	1950 tarihli Schuman Deklarasyonu, Avrupa Birliği'nin temellerini attı.	tr	History, geography and culture
Feminizmin önemli eserlerinden biri olan İkinci Cinsiyet'i yayınlayan yazar ve filozof kimdir?	Simone Weil	Simone de Beauvoir	Colette	Marguerite Duras	seçenek_b	Simone de Beauvoir, Kadın doğulmaz, kadın olunur adlı eseri kaleme almıştır.	tr	History, geography and culture
Fransa'da ifade özgürlüğü, hakaret etme veya ırkçı nefreti kışkırtma hakkı verir mi?	Evet, bu tam bir özgürlüktür.	Evet, ama sadece internette	Hayır, bu eylemler yasalarca cezalandırılan suçlardır	Evet, eğer anonim iseniz	seçenek_c	İfade özgürlüğünün, kişileri korumak için yasalarla belirlenen sınırları vardır.	tr	Rights and duties
General de Gaulle, 18 Haziran 1940'ta çağrısını nerede yaptı?	Paris'te	Londra radyosunda (BBC)	New York'ta	Cezayir'de	seçenek_b	Bu kurucu çağrı, Fransızları Nazi Almanyası'na karşı mücadeleyi sürdürmeye davet etti.	tr	History, geography and culture
İşgal döneminde Fransız Direnişinin marşı haline gelen şarkı hangisidir?	La Marseillaise	Partizanların Şarkısı	Le Temps des cerises	La Carmagnole	seçenek_b	Joseph Kessel ve Maurice Druon tarafından 1943 yılında yaratılmıştır.	tr	History, geography and culture
Fransız ulaşımında TGV kısaltması ne anlama gelir?	Transport Général des Voyageurs	Yüksek Hızlı Tren	Transit Global Versatile	Ray Çekme ve Kayma	seçenek_b	TGV ağı, Fransız endüstriyel becerisinin sembollerinden biridir.	tr	Living in French society
Fransa'da yargı sisteminin en yüksek mahkemesi hangisidir?	Ceza mahkemesi	Temyiz mahkemesi	Yargıtay	Danıştay	seçenek_c	Yargıtay, diğer mahkemeler tarafından yasaların doğru bir şekilde uygulandığını denetler.	tr	Institutional and political system
Cumhurbaşkanı vefat ederse veya istifa ederse, geçici olarak görevi kim üstlenir?	Başbakan	Ulusal Meclis Başkanı	Senato Başkanı	İçişleri Bakanı	seçenek_c	Bu durum 1969 ve 1974 yıllarında Alain Poher (Senato Başkanı) ile gerçekleşmiştir.	tr	Institutional and political system
Fransa'da adalet geleneksel olarak nasıl sembolize edilir?	Bir kartal	Gözleri bağlı, terazi (ve genellikle kılıç) tutan bir kadın	Açık bir kitapla	Bir güvercinle	seçenek_b	Bu sembol, adaletin tarafsız ve eşitlikçi olması gerektiğini gösterir.	tr	Principles and values of the Republic
