question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
Qual destas cadeias montanhosas faz a fronteira entre a França e a Espanha?	Os Alpes	Os Vosges	Os Pirenéus	O Maciço Central	opção_c	Os Pirenéus separam a Península Ibérica da França.	pt	History, geography and culture
Qual destas cadeias montanhosas faz a fronteira entre a França e a Itália?	Os Alpes	O Jura	Os Pirenéus	Os Vosges	opção_a	Os Alpes abrigam o Monte Branco, o pico mais alto da Europa Ocidental.	pt	History, geography and culture
Quantos departamentos existem na França (aproximadamente)?	50	101	150	200	opção_b	Existem 96 departamentos metropolitanos e 5 departamentos ultramarinos.	pt	History, geography and culture
Qual destes territórios é um DROM (Departamento ou Região Ultramarina) francês?	Tahiti	Nova Caledónia	Guadalupe	Madagáscar	opção_c	Guadalupe, Martinica, Guiana, Reunião e Mayotte são DROM.	pt	History, geography and culture
Em que país se encontra a sede do Parlamento Europeu?	Alemanha	Bélgica	França	Itália	opção_c	O Parlamento Europeu tem a sua sede oficial em Estrasburgo, na França.	pt	Institutional and political system
Que tratado criou oficialmente a União Europeia em 1992?	O Tratado de Roma	O Tratado de Maastricht	O Tratado de Versalhes	O Tratado de Paris	opção_b	O Tratado de Maastricht instituiu a União Europeia e lançou as bases para o euro.	pt	Institutional and political system
Quantos países compõem a União Europeia atualmente? (em 2024)	15	27	30	28	opção_b	Desde o Brexit, a UE conta com 27 Estados-Membros.	pt	Institutional and political system
Qual é a moeda da França?	O franco	A libra	O euro	O dólar	opção_c	A França adotou o euro como moeda comum com outros países da UE.	pt	Institutional and political system
Quem escreveu Os Miseráveis?	Molière	Victor Hugo	Émile Zola	Voltaire	opção_b	Victor Hugo é um dos maiores escritores e poetas franceses do século XIX.	pt	History, geography and culture
Qual destes dramaturgos é famoso pelas suas comédias do século XVII?	Baudelaire	Molière	Albert Camus	Marcel Proust	opção_b	Molière é o autor de peças como O Tartufo ou O Avarento.	pt	History, geography and culture
Que edifício oficial existe em cada município da França?	Uma catedral	Uma prefeitura	Uma câmara municipal	Um tribunal	opção_c	A câmara municipal (ou prefeitura) é a sede da administração local.	pt	Institutional and political system
Onde é que um casamento deve ser celebrado para ser válido em França?	Na igreja	Na Câmara Municipal	No cartório	No tribunal	opção_b	Apenas o casamento civil (na Câmara Municipal) tem valor legal em França.	pt	Living in French society
Qual é o principal imposto que financia a proteção social (doença, reforma) em França?	O IVA	As contribuições sociais (CSG/CRDS)	O imposto sobre a fortuna	O imposto de habitação	opção_b	A solidariedade nacional é financiada pelas contribuições e quotizações sociais.	pt	Rights and duties
Qual é o dever de um cidadão francês em matéria de defesa?	Fazer 1 ano de serviço militar	Participar no JDC (Dia da Defesa e da Cidadania)	Comprar uma arma	Não há nenhum dever	opção_b	A JDC é obrigatória para jovens entre 16 e 25 anos.	pt	Rights and duties
A República Francesa é uma e:	Indivisível	Múltipla	Regional	Separada	opção_a	O Artigo 1.º da Constituição estipula: A França é uma República indivisível, laica, democrática e social.	pt	Principles and values of the Republic
Quem vota as leis em França?	O Presidente	O primeiro-ministro	O Parlamento (Assembleia Nacional e Senado)	O Conselho Constitucional	opção_c	O poder legislativo pertence ao Parlamento.	pt	Institutional and political system
O que é a Declaração dos Direitos do Homem e do Cidadão?	Um tratado de paz	Um texto fundamental de 1789 que enuncia os direitos naturais do homem	Uma lei europeia	O código da estrada	opção_b	Foi adotada no início da Revolução Francesa, em 1789.	pt	History, geography and culture
Qual destes direitos NÃO é garantido em França?	A liberdade de expressão	A liberdade de culto	O direito de não pagar impostos	O direito à greve	opção_c	Pagar impostos é um dever do cidadão para financiar os serviços públicos.	pt	Rights and duties
Como se chama o hino da União Europeia?	A Marselhesa	O Ode à alegria	God Save the King	O Canto dos Partisans	opção_b	A Ode à Alegria é retirada da 9.ª sinfonia de Beethoven.	pt	Institutional and political system
Que rei dos francos se converteu ao cristianismo e foi batizado por volta de 496?	Carlos Magno	Clóvis	Henrique IV	Luís XIV	opção_b	O batismo de Clóvis é considerado um momento fundador da história da França.	pt	History, geography and culture
Quem foi coroado imperador do Ocidente pelo papa no ano 800?	Napoleão	Júlio César	Carlos Magno	Luís XVI	opção_c	Carlos Magno fundou um imenso império na Europa, com Aix-la-Chapelle como capital.	pt	History, geography and culture
Que heroína ajudou o rei Carlos VII a expulsar os ingleses durante a Guerra dos Cem Anos?	Joana d'Arc	Catarina de Médicis	Eleonora da Aquitânia	Olympe de Gouges	opção_a	Joana d'Arc libertou Orleães em 1429 antes de ser queimada viva em Rouen em 1431.	pt	History, geography and culture
Que rei pôs fim às guerras religiosas ao assinar o Édito de Nantes em 1598?	Luís XIII	Francisco I	Henrique IV	Filipe, o Belo	opção_c	O Édito de Nantes concedeu liberdade religiosa aos protestantes.	pt	History, geography and culture
Quem redigiu a Declaração dos Direitos da Mulher e da Cidadã em 1791?	Simone de Beauvoir	George Sand	Olympe de Gouges	Marie Curie	opção_c	Olympe de Gouges foi uma das primeiras feministas francesas e foi guilhotinada durante a Revolução.	pt	History, geography and culture
Em que República foram aprovadas as leis que tornaram a escola laica gratuita e obrigatória?	A Primeira República	A II República	A Terceira República	A V República	opção_c	Essas leis foram apresentadas por Jules Ferry em 1881 e 1882, durante a Terceira República.	pt	History, geography and culture
Em que ano a pena de morte foi abolida em França?	1945	1968	1981	2000	opção_c	Foi abolida em 1981, durante a presidência de François Mitterrand, por uma lei proposta por Robert Badinter.	pt	Institutional and political system
Qual ministra da Saúde fez aprovar a lei que legalizou o aborto em 1975?	Simone Veil	Édith Cresson	Christiane Taubira	Ségolène Royal	opção_a	Simone Veil defendeu esse direito fundamental das mulheres, apesar da forte oposição.	pt	History, geography and culture
Que famoso cientista francês desenvolveu a vacina contra a raiva em 1885?	Pierre Curie	Louis Pasteur	René Descartes	Blaise Pascal	opção_b	Louis Pasteur é um pioneiro da microbiologia.	pt	History, geography and culture
Que cientista de origem polaca naturalizada francesa ganhou dois prémios Nobel?	Marie Curie	Sophie Germain	Émilie du Châtelet	Lucie Aubrac	opção_a	Marie Curie descobriu o rádio e o polónio com o seu marido Pierre.	pt	History, geography and culture
Qual é a segunda maior cidade da França (em população intra-muros)?	Lyon	Toulouse	Marselha	Bordéus	opção_c	Marselha, situada na costa mediterrânica, é a segunda cidade mais populosa.	pt	History, geography and culture
Que mar banha o sul da França?	O Mar Negro	O Mar Vermelho	O Mar Mediterrâneo	O Mar do Norte	opção_c	A costa sul da França (a Côte d'Azur e o Languedoc) fica no Mediterrâneo.	pt	History, geography and culture
Que oceano banha o oeste da França?	O Oceano Pacífico	O Oceano Índico	O Oceano Ártico	O Oceano Atlântico	opção_d	A costa oeste da França se abre para o Oceano Atlântico.	pt	History, geography and culture
Qual é o ponto mais alto da França e da Europa Ocidental?	O Piton de la Fournaise	O Monte Branco	O Pic du Midi	O Puy de Dôme	opção_b	O Monte Branco atinge cerca de 4805 metros nos Alpes.	pt	History, geography and culture
Qual destes países NÃO tem fronteira terrestre com a França?	A Alemanha	Itália	Espanha	O Reino Unido	opção_d	O Reino Unido está separado da França pelo mar (o Canal da Mancha).	pt	History, geography and culture
Que região francesa é particularmente famosa pelos seus castelos renascentistas?	Bretanha	A Alsácia	O Vale do Loire	A Normandia	opção_c	Chambord Chenonceau ou Amboise estão localizados no Vale do Loire.	pt	History, geography and culture
O que é a Francofonia?	Um tratado de paz europeu	O conjunto de pessoas e países que utilizam a língua francesa	Uma moeda antiga	Um partido político	opção_b	A Organização Internacional da Francofonia (OIF) promove a língua e a cooperação.	pt	History, geography and culture
Em que museu parisiense é possível admirar o quadro da Mona Lisa?	O Museu d'Orsay	O Centro Pompidou	O Louvre	O Museu do Quai Branly	opção_c	O Louvre é o maior museu de arte e antiguidades do mundo.	pt	History, geography and culture
Quem são Auguste e Louis Lumière?	Pintores impressionistas	Os inventores do cinema	Exploradores	Presidentes franceses	opção_b	Os irmãos Lumière inventaram o cinematógrafo no final do século XIX.	pt	History, geography and culture
Qual destes pratos é um grande clássico da gastronomia francesa?	A paella	A pizza	O bœuf bourguignon	O fish and chips	opção_c	A gastronomia francesa está inscrita no património cultural imaterial da UNESCO.	pt	Living in French society
Qual é o papel do Conselho Constitucional?	Nomear os ministros	Verificar se as leis respeitam a Constituição	Gerir o orçamento do Estado	Prender criminosos	opção_b	Ele garante que as leis aprovadas não contradigam os princípios da Constituição.	pt	Institutional and political system
Quem dirige a ação do Governo francês?	O Presidente da República	O Ministro do Interior	O primeiro-ministro	O Presidente do Senado	opção_c	O primeiro-ministro é o chefe do governo.	pt	Institutional and political system
Como se chama o texto fundamental que organiza as instituições do Estado francês?	O Código Civil	O Código Penal	A Constituição	O Tratado de Roma	opção_c	A Constituição atual é a da V República (1958).	pt	Institutional and political system
Durante uma cerimónia oficial, quem representa o Estado?	Uma coroa	Uma faixa tricolor	Uma capa preta	Uma braçadeira branca	opção_b	A faixa azul, branca e vermelha simboliza a sua autoridade e o seu papel de representante da República.	pt	Institutional and political system
Qual é o principal objetivo dos impostos em França?	Enriquecer os eleitos	Financiar os serviços públicos (escolas, hospitais, estradas)	Pagar as dívidas de outros países	Financiar empresas privadas	opção_b	O imposto é um dever cívico que permite a solidariedade nacional e a ação do Estado.	pt	Rights and duties
O que significa a sigla PACS?	Partido Anticapitalista e Social	Plano de Ação Cívica e Social	Pacto Civil de Solidariedade	Permissão Automóvel de Condução Segura	opção_c	O PACS é um contrato que organiza a vida em comum de duas pessoas maiores de idade.	pt	Living in French society
Quem tem direito a votar nas eleições municipais em França?	Apenas os cidadãos franceses	Os cidadãos franceses e europeus residentes no município	Todos os residentes do mundo	Apenas pessoas com mais de 21 anos	opção_b	Os cidadãos da União Europeia que vivem em França podem votar nas eleições municipais.	pt	Rights and duties
Em nome de quem é feita justiça em França?	Do Presidente da República	De Deus	Do povo francês	Dos juízes	opção_c	As decisões judiciais são proferidas Em nome do povo francês.	pt	Institutional and political system
O que é a presunção de inocência?	Qualquer pessoa acusada é culpada até prova em contrário.	Qualquer pessoa acusada é considerada inocente até que sua culpa seja comprovada	Ninguém pode ser julgado	Os ricos não vão para a prisão	opção_b	Este é um princípio fundamental dos direitos humanos garantido pela lei francesa.	pt	Principles and values of the Republic
Qual destes números de emergência permite contactar o SAMU (emergência médica)?	15	17	18	112	opção_a	O 15 é o SAMU, o 17 é a polícia e o 18 é os bombeiros.	pt	Living in French society
Qual é o número de emergência único europeu?	911	112	118	999	opção_b	O 112 funciona em todos os países da União Europeia.	pt	Living in French society
Qual é a principal função de um sindicato em França?	Organizar festas	Defender os direitos e interesses dos trabalhadores	Substituir o governo	Gerir os bancos	opção_b	O direito sindical e o direito à greve são garantidos pela Constituição.	pt	Rights and duties
O que garante a liberdade de consciência inscrita na lei de separação de 1905?	O direito de acreditar ou não acreditar e de praticar a religião da sua escolha	A obrigação de ter uma religião	A proibição de ir à igreja	A obrigação de apoiar financeiramente uma religião	opção_a	É o princípio central da laicidade francesa.	pt	Principles and values of the Republic
O que simboliza a Fraternidade no lema republicano?	A competição	A solidariedade e a ajuda mútua entre os cidadãos	A obediência	A lei do mais forte	opção_b	A fraternidade expressa-se nomeadamente através do sistema de segurança social e dos impostos.	pt	Principles and values of the Republic
Como é composta a bandeira da União Europeia?	Uma águia sobre fundo vermelho	12 estrelas douradas em círculo sobre fundo azul	Uma cruz branca sobre fundo vermelho	Faixas verticais azuis e amarelas	opção_b	As estrelas representam os ideais de unidade, solidariedade e harmonia entre os povos.	pt	Institutional and political system
Em que ano as moedas e notas de euro começaram a circular?	1992	1999	2002	2010	opção_c	O euro físico substituiu o franco francês em 1 de janeiro de 2002.	pt	Institutional and political system
Para que serve o espaço Schengen na Europa?	Para utilizar a mesma moeda	Garantir a livre circulação de pessoas entre os países membros sem controlos nas fronteiras internas	Criar um exército comum	Para falar a mesma língua	opção_b	Permite viajar, trabalhar e viver livremente no espaço em questão.	pt	Institutional and political system
Que nobre francês partiu para lutar ao lado de George Washington durante a Guerra da Independência Americana?	Napoleão	O Marquês de Lafayette	Robespierre	Danton	opção_b	Lafayette é um símbolo da amizade histórica entre a França e os Estados Unidos.	pt	History, geography and culture
Que famosa batalha de 1805 é frequentemente considerada a obra-prima tática de Napoleão I?	Waterloo	Verdun	Austerlitz	Marignan	opção_c	Austerlitz também é conhecida como a batalha dos Três Imperadores.	pt	History, geography and culture
Em que local específico foi assinado o armistício de 11 de novembro de 1918?	Em Versalhes	Num vagão em Rethondes	Na Torre Eiffel	No Palácio do Eliseu	opção_b	O armistício que marcou o fim dos combates da Grande Guerra foi assinado na floresta de Compiègne.	pt	History, geography and culture
Que coligação política instituiu as duas primeiras semanas de férias pagas em França, em 1936?	A Frente Nacional	A Frente Popular	A França Insubmissa	A Reunião pela República	opção_b	A Frente Popular, liderada por Léon Blum, introduziu grandes avanços sociais.	pt	History, geography and culture
Quais políticos são considerados os pais fundadores da Europa do pós-guerra?	De Gaulle e Churchill	Robert Schuman e Jean Monnet	Mitterrand e Kohl	Macron e Merkel	opção_b	A Declaração Schuman de 1950 lançou as bases da União Europeia.	pt	History, geography and culture
Que escritora e filósofa publicou O Segundo Sexo, obra fundamental do feminismo?	Simone Weil	Simone de Beauvoir	Colette	Marguerite Duras	opção_b	Simone de Beauvoir escreveu Não se nasce mulher, torna-se mulher.	pt	History, geography and culture
Na França, a liberdade de expressão dá o direito de insultar ou incitar ao ódio racial?	Sim, é liberdade total.	Sim, mas apenas na Internet	Não, esses atos são crimes puníveis por lei	Sim, se for anónimo	opção_c	A liberdade de expressão tem limites estabelecidos pela lei para proteger as pessoas.	pt	Rights and duties
Onde o general De Gaulle proferiu o Apelo de 18 de junho de 1940?	Em Paris	Na rádio de Londres (BBC)	Em Nova Iorque	Em Argel	opção_b	Este apelo fundador convidou os franceses a continuar a luta contra a Alemanha nazista.	pt	History, geography and culture
Que canção se tornou o hino da Resistência francesa durante a ocupação?	A Marselhesa	O Canto dos Partisans	Le Temps des cerises	La Carmagnole	opção_b	Foi criado por Joseph Kessel e Maurice Druon em 1943.	pt	History, geography and culture
O que significa a sigla TGV nos transportes franceses?	Transporte Geral de Passageiros	Comboio de Alta Velocidade	Transporte Global Versátil	Tração e deslizamento da via	opção_b	A rede TGV é um dos símbolos do know-how industrial francês.	pt	Living in French society
Qual é a mais alta jurisdição do sistema judicial francês?	O tribunal correcional	O tribunal de recurso	O Supremo Tribunal	O Conselho de Estado	opção_c	O Tribunal de Cassação verifica se as leis foram corretamente aplicadas pelos outros tribunais.	pt	Institutional and political system
Se o Presidente da República falecer ou se demitir, quem assume o cargo interinamente?	O primeiro-ministro	O Presidente da Assembleia Nacional	O Presidente do Senado	O Ministro do Interior	opção_c	Isso aconteceu em 1969 e 1974 com Alain Poher (Presidente do Senado).	pt	Institutional and political system
Como a justiça é tradicionalmente simbolizada na França?	Por uma águia	Por uma mulher com os olhos vendados segurando uma balança (e muitas vezes uma espada)	Por um livro aberto	Por uma pomba	opção_b	Este símbolo mostra que a justiça deve ser imparcial e equitativa.	pt	Principles and values of the Republic
