question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
法国的政教分离制度是什么？	宗教禁令	国教	国家在宗教事务上的中立性	信仰宗教的义务	选项_c	政教分离保障了信仰自由，并使国家与宗教分离。	zh	Principles and values of the Republic
法国妇女在何年获得选举权？	1789	1905	1944	1968	选项_c	1944年，戴高乐将军赋予妇女投票权。	zh	History, geography and culture
法国在何年彻底废除了奴隶制？	1789	1848	1905	1944	选项B	1848年，在第二共和国时期（维克多·舍尔歇），奴隶制被彻底废除。	zh	History, geography and culture
我们现在生活在哪个共和国时期？	第三共和国	第四共和国	第五共和国	第六共和国	选项_c	第五共和国由夏尔·戴高乐于1958年建立。	zh	Institutional and political system
哪位法国国王被称为太阳王？	亨利四世	路易十四	路易十六	弗朗索瓦一世	选项B	路易十四因建造凡尔赛宫而闻名，他就是太阳王。	zh	History, geography and culture
第二次世界大战期间，谁在伦敦领导了法国抵抗运动？	让·穆兰	贝当元帅	戴高乐将军	温斯顿·丘吉尔	选项_c	夏尔·戴高乐于1940年6月18日发表《6月18日呼吁》。	zh	History, geography and culture
谁统一了法国国内的抵抗运动？	夏尔·戴高乐	让·穆兰	莱昂·布卢姆	维克多·雨果	选项B	让·穆兰创立了全国抵抗委员会。	zh	History, geography and culture
第一次世界大战的具体时间是？	1870-1871	1914-1918	1939-1945	1954-1962	选项B	第一次世界大战是法国及其盟国与中央同盟国的战争。	zh	History, geography and culture
第二次世界大战的日期是什么时候？	1914-1918	1936-1939	1939-1945	1945-1950	选项_c	这场世界大战以1945年盟军的胜利告终。	zh	History, geography and culture
1799年哪位法国将军夺取政权并成为皇帝？	查理曼	路易-拿破仑·波拿巴	拿破仑·波拿巴	夏尔·戴高乐	选项_c	拿破仑一世在19世纪初统治了欧洲。	zh	History, geography and culture
法国法定成年年龄是多少岁？	16岁	18岁	21岁	25岁	选项B	自1974年起，民事和政治上的成年年龄定为18岁。	zh	Rights and duties
法国实行义务教育。义务教育从几岁到几岁？	3岁至16岁	6岁至16岁	6岁至18岁	3岁至18岁	选项A	3岁至16岁为义务教育阶段。	zh	Living in French society
法国公立学校：	收费且具有宗教性质	免费、世俗且义务	仅限男生	可选	选项B	公立学校基于免费、世俗和义务教育原则。	zh	Living in French society
巴黎哪座纪念碑安葬着法国伟人的陵墓？	埃菲尔铁塔	凯旋门	先贤祠	卢浮宫	选项_c	其山花上刻着：祖国向伟人致敬。	zh	History, geography and culture
以下哪条河流不流经法国？	塞纳河	罗讷河	泰晤士河	卢瓦尔河	选项_c	泰晤士河流经英格兰。	zh	History, geography and culture
法国最长的河流是哪一条？	加龙河	塞纳河	罗讷河	卢瓦尔河	选项_d	卢瓦尔河全长超过1000公里。	zh	History, geography and culture
以下哪条山脉是法国和西班牙的边界？	阿尔卑斯山	孚日山脉	比利牛斯山脉	中央高原	选项_c	比利牛斯山脉将伊比利亚半岛与法国分隔开来。	zh	History, geography and culture
以下哪条山脉是法国和意大利的边界？	阿尔卑斯山	汝拉山脉	比利牛斯山脉	孚日山脉	选项A	阿尔卑斯山是欧洲西部最高峰勃朗峰的所在地。	zh	History, geography and culture
法国大约有多少个省？	50	101	150	200	选项B	法国本土有96个省，海外有5个省。	zh	History, geography and culture
以下哪个地区属于法国海外省或海外地区？	大溪地	新喀里多尼亚	瓜德罗普	马达加斯加	选项_c	瓜德罗普岛、马提尼克岛、法属圭亚那、留尼汪岛和马约特岛都是法国海外省或海外地区。	zh	History, geography and culture
欧洲议会的总部设在哪个国家？	德国	比利时	法国	意大利	选项_c	欧洲议会的正式所在地是法国的斯特拉斯堡。	zh	Institutional and political system
1992年哪项条约正式创立了欧盟？	《罗马条约》	《马斯特里赫特条约》	《凡尔赛条约》	《巴黎条约》	选项B	《马斯特里赫特条约》创立了欧盟，并为欧元奠定了基础。	zh	Institutional and political system
欧盟目前由多少个国家组成？（2024年）	15	27	30	28	选项B	自英国脱欧以来，欧盟共有27个成员国。	zh	Institutional and political system
法国的货币是什么？	法郎	英镑	欧元	美元	选项_c	法国与欧盟其他国家一样，采用了欧元作为共同货币。	zh	Institutional and political system
《悲惨世界》的作者是谁？	莫里哀	维克多·雨果	埃米尔·左拉	伏尔泰	选项B	维克多·雨果是19世纪法国最伟大的作家和诗人之一。	zh	History, geography and culture
以下哪位剧作家以17世纪的喜剧作品而闻名？	波德莱尔	莫里哀	阿尔贝·加缪	马塞尔·普鲁斯特	选项B	莫里哀创作了《伪君子》和《吝啬鬼》等剧作。	zh	History, geography and culture
法国每个市镇都有一座什么官方建筑？	一座大教堂	一个省府	市政厅	法院	选项_c	市政厅（或市政大楼）是地方行政机构的所在地。	zh	Institutional and political system
在法国，婚礼必须在哪里举行才算有效？	教堂	市政厅	公证处	法院	选项B	在法国，只有民事婚姻（在市政厅举行）具有法律效力。	zh	Living in French society
法国社会保障（医疗保险、养老保险）的主要资金来源是什么？	增值税	社会保险费（CSG/CRDS）	财富税	住房税	选项B	国家团结基金由社会保险费和贡献金提供资金。	zh	Rights and duties
法国公民在国防方面有哪些义务？	服兵役一年	参加国防与公民日活动	购买武器	没有任何义务	选项B	16至25岁的青年必须参加国防与公民日活动。	zh	Rights and duties
法兰西共和国是一个统一的国家：	不可分割	多元	区域性	分离的	选项A	宪法第1条规定：法国是一个不可分割、世俗、民主和社会性的共和国。	zh	Principles and values of the Republic
法国由谁投票通过法律？	总统	总理	议会（国民议会和参议院）	宪法委员会	选项_c	立法权属于议会。	zh	Institutional and political system
《人权和公民权宣言》是什么？	一份和平条约	1789年的一项基本文件，阐述了人的自然权利	一项欧洲法律	道路交通法规	选项B	它于1789年法国大革命初期通过。	zh	History, geography and culture
以下哪项权利在法国不受保障？	言论自由	宗教自由	不纳税的权利	罢工权	选项_c	纳税是公民为公共服务提供资金的义务。	zh	Rights and duties
欧盟的国歌叫什么？	《马赛曲》	《欢乐颂》	《上帝保佑国王》	游击队员之歌	选项B	《欢乐颂》出自贝多芬的《第九交响曲》。	zh	Institutional and political system
哪位法兰克国王皈依基督教并在公元496年左右受洗？	查理曼	克洛维	亨利四世	路易十四	选项B	克洛维的受洗被视为法国历史上的奠基时刻。	zh	History, geography and culture
公元800年，谁被教皇加冕为西罗马帝国皇帝？	拿破仑	尤利乌斯·凯撒	查理曼	路易十六	选项_c	查理曼大帝在欧洲建立了一个庞大的帝国，以亚琛为首都。	zh	History, geography and culture
哪位女英雄在百年战争期间协助查理七世国王驱逐了英军？	圣女贞德	凯瑟琳·德·美第奇	阿基坦的埃莉诺	奥林匹娅·德·古热	选项A	圣女贞德于1429年解放了奥尔良，1431年在鲁昂被烧死。	zh	History, geography and culture
哪位国王通过1598年签署《南特敕令》结束了宗教战争？	路易十三	弗朗索瓦一世	亨利四世	菲利普四世	选项_c	《南特敕令》赋予新教徒宗教自由。	zh	History, geography and culture
1791年《妇女和公民权利宣言》的起草者是谁？	西蒙娜·德·波伏娃	乔治·桑	奥林匹娅·德·古热	玛丽·居里	选项_c	奥林匹娅·德·古热是法国最早的女权主义者之一，在法国大革命期间被送上了断头台。	zh	History, geography and culture
在哪个共和国时期通过了关于免费义务世俗教育的法律？	第一共和国	第二共和国	第三共和国	第五共和国	选项_c	这些法律由朱尔斯·费里于1881年和1882年在第三共和国时期提出。	zh	History, geography and culture
法国在何年废除了死刑？	1945	1968	1981	2000	选项_c	1981年，在弗朗索瓦·密特朗总统任期内，根据罗伯特·巴丹泰提出的法案，死刑被废除。	zh	Institutional and political system
1975年，哪位卫生部长推动通过了将堕胎合法化的法案？	西蒙娜·韦伊	伊迪丝·克雷松	克里斯蒂安娜·陶比拉	塞戈莱娜·罗雅尔	选项A	西蒙娜·韦尔顶着强烈反对，为女性争取到了这项基本权利。	zh	History, geography and culture
1885年，哪位著名的法国科学家研制出了狂犬病疫苗？	皮埃尔·居里	路易·巴斯德	勒内·笛卡尔	布莱兹·帕斯卡	选项B	路易·巴斯德是微生物学的先驱。	zh	History, geography and culture
哪位波兰裔法国科学家曾两度荣获诺贝尔奖？	玛丽·居里	索菲·热尔曼	艾米丽·杜·夏特莱	露西·奥布拉克	选项A	玛丽·居里与其丈夫皮埃尔共同发现了镭和钋。	zh	History, geography and culture
法国第二大城市（以市区人口计）是哪个？	里昂	图卢兹	马赛	波尔多	选项_c	位于地中海沿岸的马赛是法国人口第二多的城市。	zh	History, geography and culture
法国南部濒临哪片海域？	黑海	红海	地中海	北海	选项_c	法国南部海岸（蔚蓝海岸和朗格多克地区）面朝地中海。	zh	History, geography and culture
法国西部濒临哪个海洋？	太平洋	印度洋	北冰洋	大西洋	选项_d	法国西海岸面朝大西洋。	zh	History, geography and culture
法国和西欧的最高点在哪里？	富尔奈斯火山	勃朗峰	米迪峰	多姆火山	选项B	白朗峰位于阿尔卑斯山脉，海拔约4805米。	zh	History, geography and culture
以下哪个国家与法国没有陆地边界？	德国	意大利	西班牙	英国	选项_d	英国与法国之间隔着海（英吉利海峡）。	zh	History, geography and culture
法国哪个地区以其文艺复兴时期的城堡而闻名？	布列塔尼	阿尔萨斯	卢瓦尔河谷	诺曼底	选项_c	尚博尔、舍农索和昂布瓦斯都位于卢瓦尔河谷。	zh	History, geography and culture
法语国家组织是什么？	一项欧洲和平条约	所有使用法语的人和国家	一种古老的货币	一个政党	选项B	法语国家国际组织（OIF）致力于推广法语和促进合作。	zh	History, geography and culture
在巴黎的哪个博物馆可以欣赏到《蒙娜丽莎》这幅画？	奥赛博物馆	蓬皮杜艺术中心	卢浮宫	布朗利河岸博物馆	选项_c	卢浮宫是世界上最大的艺术和古董博物馆。	zh	History, geography and culture
奥古斯特·卢米埃尔和路易·卢米埃尔是谁？	印象派画家	电影的发明者	探险家	法国总统	选项B	卢米埃尔兄弟在19世纪末发明了电影放映机。	zh	History, geography and culture
以下哪种菜肴是法国美食的经典之作？	西班牙海鲜饭	披萨	勃艮第炖牛肉	炸鱼薯条	选项_c	法国美食已被列入联合国教科文组织非物质文化遗产名录。	zh	Living in French society
宪法委员会的作用是什么？	任命部长	确保法律符合宪法	管理国家预算	逮捕罪犯	选项B	确保通过的法律不违背宪法原则。	zh	Institutional and political system
谁领导法国政府的行动？	共和国总统	内政部长	总理	参议院议长	选项_c	总理是政府首脑。	zh	Institutional and political system
组织法国国家机构的基本法律叫什么？	《民法典》	《刑法典》	宪法	《罗马条约》	选项_c	现行宪法是第五共和国宪法（1958年）。	zh	Institutional and political system
在市长代表国家举行的正式仪式上？	王冠	三色绶带	黑色斗篷	白色臂章	选项B	蓝白红三色绶带象征其权威及作为共和国代表的身份。	zh	Institutional and political system
法国征税的主要目的是什么？	使当选官员致富	为公共服务（学校、医院、道路）提供资金	偿还其他国家的债务	为私营企业提供资金	选项B	纳税是公民的义务，它促进了国民团结和国家行动。	zh	Rights and duties
PACS缩写代表什么？	反资本主义与社会党	公民与社会行动计划	民事团结契约	安全驾驶汽车许可证	选项_c	PACS是规范两名成年人共同生活的契约。	zh	Living in French society
在法国，谁有权参加市政选举投票？	仅限法国公民	居住在该市区的法国公民和欧洲公民	全球所有居民	仅限21岁以上人士	选项B	居住在法国的欧盟公民有权参加市政选举投票。	zh	Rights and duties
法国司法以谁的名义行使？	共和国总统	上帝	法国人民	法官	选项_c	司法判决是以谁的名义作出的？以法国人民的名义。	zh	Institutional and political system
何谓无罪推定？	任何被告在证明其无罪之前均被视为有罪。	任何被指控的人在罪行成立前均被推定为无罪	任何人不得被审判	富人不会入狱	选项B	这是法国法律保障的基本人权原则。	zh	Principles and values of the Republic
以下哪个紧急号码可联系SAMU（医疗急救）？	15	17	18	112	选项A	15是急救电话，17是警察电话，18是消防电话。	zh	Living in French society
欧洲统一紧急号码是多少？	911	112	118	999	选项B	112在欧盟所有国家都适用。	zh	Living in French society
法国工会的首要职能是什么？	组织庆祝活动	捍卫劳动者的权益	取代政府	管理银行	选项B	工会权和罢工权受宪法保障。	zh	Rights and duties
1905年《政教分离法》所载的良心自由保障了什么？	信仰或不信仰的权利，以及实践自己选择的宗教的权利	信仰宗教的义务	禁止去教堂	有义务为宗教提供经济支持	选项A	这是法国政教分离的核心原则。	zh	Principles and values of the Republic
共和国格言中的“博爱”象征着什么？	竞争	公民之间的团结互助	服从	强权法则	选项B	兄弟情谊主要体现在社会保障和税收制度中。	zh	Principles and values of the Republic
欧盟旗帜的构成如何？	红底上的鹰	蓝色背景上环绕着12颗金色星星	红底白十字	蓝黄相间的竖条纹	选项B	星星代表各国人民团结、互助和和谐的理想。	zh	Institutional and political system
欧元硬币和纸币于何年开始流通？	1992	1999	2002	2010	选项_c	2002年1月1日，欧元硬币和纸币正式取代法国法郎。	zh	Institutional and political system
申根区在欧洲的作用是什么？	使用统一货币	确保成员国之间人员自由流动，无需内部边境检查	建立共同军队	使用统一语言	选项B	它使人们能够在相关区域内自由旅行、工作和生活。	zh	Institutional and political system
哪位法国贵族在美国独立战争期间与乔治·华盛顿并肩作战？	拿破仑	拉法叶侯爵	罗伯斯庇尔	丹东	选项B	拉法叶是法美两国历史友谊的象征。	zh	History, geography and culture
1805年哪场著名战役常被视为拿破仑一世的战术杰作？	滑铁卢	凡尔登	奥斯特里茨	马里尼亚诺	选项_c	奥斯特里茨战役也被称为三帝之战。	zh	History, geography and culture
1918年11月11日的停战协定是在何处签署的？	凡尔赛	在雷通德的一节火车车厢里	埃菲尔铁塔	爱丽舍宫	选项B	标志着第一次世界大战结束的停战协定是在贡比涅森林签署的。	zh	History, geography and culture
1936年，哪个政治联盟在法国建立了为期两周的有薪休假制度？	国民阵线	人民阵线	不屈的法国	共和集会	选项B	由莱昂·布卢姆领导的人民阵线实现了重大的社会进步。	zh	History, geography and culture
哪些政治家被视为战后欧洲的奠基人？	戴高乐和丘吉尔	罗伯特·舒曼和让·莫内	密特朗和科尔	马克龙和默克尔	选项B	1950年的舒曼宣言为欧盟奠定了基础。	zh	History, geography and culture
哪位作家兼哲学家出版了女权主义的重要著作《第二性》？	西蒙娜·薇依	西蒙娜·德·波伏娃	科莱特	玛格丽特·杜拉斯	选项B	西蒙娜·德·波伏娃写道："人不是生来就是女人，而是成为女人。"	zh	History, geography and culture
在法国，言论自由是否赋予了侮辱他人或煽动种族仇恨的权利？	是的，这是完全的自由	是的，但仅限于网络空间	不，这些行为属于违法犯罪	是，如果匿名的话	选项_c	言论自由受法律限制，以保护个人权益。	zh	Rights and duties
戴高乐将军是在哪里发表1940年6月18日的《呼吁》的？	在巴黎	在伦敦广播电台（BBC）	纽约	阿尔及尔	选项B	这篇奠基性的呼吁号召法国人民继续与纳粹德国作战。	zh	History, geography and culture
哪首歌曲成为法国抵抗运动在占领期间的赞美诗？	《马赛曲》	游击队员之歌	《樱桃时节》	《卡马尼奥尔》	选项B	该歌曲由约瑟夫·凯塞尔和莫里斯·德鲁昂于1943年创作。	zh	History, geography and culture
法国交通系统中的TGV缩写代表什么？	旅客运输总署	高速列车	全球通用运输	轨道牵引与滑动	选项B	高速列车网络是法国工业技术实力的象征之一。	zh	Living in French society
法国司法体系中的最高司法机构是哪个？	刑事法庭	上诉法院	最高法院	国务委员会	选项_c	最高法院负责审查其他法院是否正确适用法律。	zh	Institutional and political system
如果共和国总统去世或辞职，由谁代行总统职务？	总理	国民议会议长	参议院议长	内政部长	选项_c	1969年和1974年曾发生过这种情况，当时由阿兰·波赫（参议院议长）代理。	zh	Institutional and political system
在法国，司法传统上如何象征？	一只鹰	蒙眼女子手持天平（通常还持剑）	一本打开的书	鸽子	选项B	这个象征表明正义必须公正无私。	zh	Principles and values of the Republic
