question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
Under which Republic were laws making secular education free and compulsory passed?	The First Republic	The Second Republic	The Third Republic	The Fifth Republic	option_c	These laws were introduced by Jules Ferry in 1881 and 1882 under the Third Republic.	en	History, geography and culture
In what year was the death penalty abolished in France?	1945	1968	1981	2000	option_c	It was abolished in 1981 under the presidency of François Mitterrand, based on a law introduced by Robert Badinter.	en	Institutional and political system
Which Minister of Health passed the law legalizing abortion in 1975?	Simone Veil	Édith Cresson	Christiane Taubira	Ségolène Royal	option_a	Simone Veil defended this fundamental right for women despite strong opposition.	en	History, geography and culture
Which famous French scientist developed the rabies vaccine in 1885?	Pierre Curie	Louis Pasteur	René Descartes	Blaise Pascal	option_b	Louis Pasteur was a pioneer in microbiology.	en	History, geography and culture
Which scientist of Polish origin who became a naturalized French citizen won two Nobel Prizes?	Marie Curie	Sophie Germain	Émilie du Châtelet	Lucie Aubrac	option_a	Marie Curie discovered radium and polonium with her husband Pierre.	en	History, geography and culture
What is the second largest city in France (in terms of population within the city limits)?	Lyon	Toulouse	Marseille	Bordeaux	option_c	Marseille, located on the Mediterranean coast, is the second most populous city.	en	History, geography and culture
Which sea borders the south of France?	The Black Sea	The Red Sea	The Mediterranean Sea	The North Sea	option_c	The southern coast of France (the French Riviera and Languedoc) overlooks the Mediterranean Sea.	en	History, geography and culture
Which ocean borders western France?	The Pacific Ocean	The Indian Ocean	The Arctic Ocean	The Atlantic Ocean	option_d	The western coast of France opens onto the Atlantic Ocean.	en	History, geography and culture
What is the highest point in France and Western Europe?	Piton de la Fournaise	Mont Blanc	Pic du Midi	Puy de Dôme	option_b	Mont Blanc rises to around 4,805 meters in the Alps.	en	History, geography and culture
Which of these countries does NOT share a land border with France?	Germany	Italy	Spain	The United Kingdom	option_d	The United Kingdom is separated from France by the sea (the English Channel).	en	History, geography and culture
Which French region is particularly famous for its Renaissance castles?	Brittany	Alsace	The Loire Valley	Normandy	option_c	Chambord, Chenonceau, and Amboise are located in the Loire Valley.	en	History, geography and culture
What is the Francophonie?	A European peace treaty	All people and countries that use the French language	An ancient currency	A political party	option_b	The International Organization of La Francophonie (OIF) promotes the language and cooperation.	en	History, geography and culture
In which Parisian museum can you admire the Mona Lisa painting?	The Musée d'Orsay	The Pompidou Center	The Louvre	The Quai Branly Museum	option_c	The Louvre is the largest museum of art and antiquities in the world.	en	History, geography and culture
Who are Auguste and Louis Lumière?	Impressionist painters	The inventors of cinema	Explorers	French presidents	option_b	The Lumière brothers invented the cinematograph at the end of the 19th century.	en	History, geography and culture
Which of these dishes is a classic of French cuisine?	Paella	Pizza	Beef bourguignon	Fish and chips	option_c	French cuisine is listed as intangible cultural heritage by UNESCO.	en	Living in French society
What is the role of the Constitutional Council?	Appointing ministers	Ensuring that laws comply with the Constitution	Managing the state budget	Arrest criminals	option_b	It ensures that the laws passed do not contradict the principles of the Constitution.	en	Institutional and political system
Who directs the actions of the French government?	The President of the Republic	The Minister of the Interior	The Prime Minister	The President of the Senate	option_c	The Prime Minister is the head of government.	en	Institutional and political system
What is the name of the fundamental text that organizes the institutions of the French state?	The Civil Code	The Penal Code	The Constitution	The Treaty of Rome	option_c	The current Constitution is that of the Fifth Republic (1958).	en	Institutional and political system
During an official ceremony, who does the mayor represent?	A crown	A tricolor sash	A black cape	A white armband	option_b	The blue, white, and red sash symbolizes his authority and his role as representative of the Republic.	en	Institutional and political system
What is the main purpose of taxation in France?	To enrich elected officials	To finance public services (schools, hospitals, roads)	To pay the debts of other countries	To finance private companies	option_b	Taxation is a civic duty that enables national solidarity and government action.	en	Rights and duties
What does the acronym PACS stand for?	Anti-Capitalist and Social Party	Civic and Social Action Plan	Civil Solidarity Pact	Safe Driving License	option_c	PACS is a contract that regulates the cohabitation of two adults.	en	Living in French society
Who is eligible to vote in municipal elections in France?	Only French citizens	French and European citizens residing in the municipality	All residents of the world	Only people over the age of 21	option_b	European Union nationals living in France can vote in municipal elections.	en	Rights and duties
In France, justice is administered in the name of whom?	The President of the Republic	God	The French people	The judges	option_c	Court decisions are handed down in the name of the French people.	en	Institutional and political system
What is the presumption of innocence?	Any person accused is guilty until proven innocent.	Every accused person is presumed innocent until proven guilty.	No one may be tried	The rich do not go to prison	option_b	This is a fundamental principle of human rights guaranteed by French law.	en	Principles and values of the Republic
Which of these emergency numbers can be used to contact the SAMU (medical emergency service)?	15	17	18	112	option_a	15 is for the SAMU, 17 is for the police, and 18 is for the fire department.	en	Living in French society
What is the single European emergency number?	911	112	118	999	option_b	112 works in all European Union countries.	en	Living in French society
What is the main role of a trade union in France?	Organizing parties	Defending workers' rights and interests	Replacing the government	Managing banks	option_b	The right to unionize and the right to strike are guaranteed by the Constitution.	en	Rights and duties
What does freedom of conscience, enshrined in the 1905 law on separation, guarantee?	The right to believe or not to believe and to practice the religion of one's choice	The obligation to have a religion	The prohibition on going to church	The obligation to support a religion financially	option_a	This is the central principle of French secularism.	en	Principles and values of the Republic
What does fraternity symbolize in the republican motto?	Competition	Solidarity and mutual aid among citizens	Obedience	The law of the strongest	option_b	Fraternity is expressed in particular through the social security and tax systems.	en	Principles and values of the Republic
What does the European Union flag look like?	An eagle on a red background	12 golden stars in a circle on a blue background	A white cross on a red background	Vertical blue and yellow stripes	option_b	The stars represent the ideals of unity, solidarity, and harmony among peoples.	en	Institutional and political system
In what year did euro coins and banknotes begin to circulate?	1992	1999	2002	2010	option_c	The physical euro replaced the French franc on January 1, 2002.	en	Institutional and political system
What is the purpose of the Schengen area in Europe?	To use the same currency	To guarantee the free movement of people between member countries without internal border controls	To create a common army	To speak the same language	option_b	It allows people to travel, work, and live freely within the area concerned.	en	Institutional and political system
Which French nobleman went to fight alongside George Washington during the American War of Independence?	Napoleon	The Marquis de Lafayette	Robespierre	Danton	option_b	Lafayette is a symbol of the historic friendship between France and the United States.	en	History, geography and culture
Which famous battle of 1805 is often considered Napoleon I's tactical masterpiece?	Waterloo	Verdun	Austerlitz	Marignan	option_c	Austerlitz is also known as the Battle of the Three Emperors.	en	History, geography and culture
Where exactly was the armistice of November 11, 1918 signed?	In Versailles	In a railway carriage in Rethondes	At the Eiffel Tower	At the Élysée Palace	option_b	The armistice marking the end of the fighting in the Great War was signed in the forest of Compiègne.	en	History, geography and culture
Which political coalition introduced the first two weeks of paid vacation in France in 1936?	The National Front	The Popular Front	La France Insoumise	The Rally for the Republic	option_b	The Popular Front led by Léon Blum introduced major social advances.	en	History, geography and culture
Which politicians are considered the founding fathers of post-war Europe?	De Gaulle and Churchill	Robert Schuman and Jean Monnet	Mitterrand and Kohl	Macron and Merkel	option_b	The Schuman Declaration of 1950 laid the foundations for the European Union.	en	History, geography and culture
Which writer and philosopher published The Second Sex, a major work of feminism?	Simone Weil	Simone de Beauvoir	Colette	Marguerite Duras	option_b	Simone de Beauvoir wrote One is not born a woman, one becomes one.	en	History, geography and culture
In France, does freedom of expression give people the right to insult others or incite racial hatred?	Yes, it's total freedom.	Yes, but only on the internet	No, these acts are crimes punishable by law	Yes, if you are anonymous	option_c	Freedom of expression has limits set by law to protect people.	en	Rights and duties
Where did General de Gaulle deliver his Appeal of June 18, 1940?	In Paris	On London radio (BBC)	In New York	In Algiers	option_b	This seminal appeal called on the French people to continue the fight against Nazi Germany.	en	History, geography and culture
Which song became the anthem of the French Resistance during the Occupation?	La Marseillaise	The Song of the Partisans	Le Temps des cerises	La Carmagnole	option_b	It was created by Joseph Kessel and Maurice Druon in 1943.	en	History, geography and culture
What does the acronym TGV mean in French transport?	Transportation for General Passengers	High-Speed Train	Transit Global Versatile	Traction and Track Slip	option_b	The TGV network is one of the symbols of French industrial expertise.	en	Living in French society
What is the highest court in the French judicial system?	The criminal court	The Court of Appeal	The Court of Cassation	The Council of State	option_c	The Court of Cassation verifies that laws have been correctly applied by other courts.	en	Institutional and political system
If the President of the Republic dies or resigns, who takes over in the interim?	The Prime Minister	The President of the National Assembly	The President of the Senate	The Minister of the Interior	option_c	This happened in 1969 and 1974 with Alain Poher (President of the Senate).	en	Institutional and political system
How is justice traditionally symbolized in France?	By an eagle	By a blindfolded woman holding scales (and often a sword)	By an open book	By a dove	option_b	This symbol shows that justice must be impartial and fair.	en	Principles and values of the Republic
